rowNumber,Equipe,Classement FIFA,No.,Joueur,Position,Date de naissance,Age,Selections,Championnat,Club
0,Bresil,3,1,Jefferson,1. Gardien,2 janvier 1983,31,9,Bresil,"Botafogo   "
1,Bresil,3,12,Julio Cesar,1. Gardien,3 septembre 1979,34,80,Etats-Unis,"Toronto FC  "
2,Bresil,3,22,Victor,1. Gardien,21 janvier 1983,31,6,Bresil,"Atletico Mineiro  "
3,Bresil,3,2,Dani Alves,2. Defenseur,6 mai 1983,31,75,Espagne,"Barcelona   "
4,Bresil,3,13,Dante,2. Defenseur,18 octobre 1983,30,12,Allemagne,"Bayern Munich  "
5,Bresil,3,4,David Luiz,2. Defenseur,22 avril 1987,27,36,Angleterre,"Chelsea   "
6,Bresil,3,15,Henrique,2. Defenseur,14 octobre 1986,27,5,Italie,"Napoli   "
7,Bresil,3,23,Maicon,2. Defenseur,26 juillet 1981,32,72,Italie,"Roma   "
8,Bresil,3,6,Marcelo,2. Defenseur,12 mai 1988,26,31,Espagne,"Real Madrid  "
9,Bresil,3,14,Maxwell,2. Defenseur,27 août 1981,32,9,France,"Paris Saint-Germain  "
10,Bresil,3,3,Thiago Silva (c),2. Defenseur,22 septembre 1984,29,46,France,"Paris Saint-Germain  "
11,Bresil,3,20,Bernard,3. Milieu,8 septembre 1992,21,11,Ukraine,"Shakhtar Donetsk  "
12,Bresil,3,5,Fernandinho,3. Milieu,4 mai 1985,29,7,Angleterre,"Manchester City  "
13,Bresil,3,18,Hernanes,3. Milieu,29 mai 1985,29,24,Italie,"Internazionale   "
14,Bresil,3,17,Luiz Gustavo,3. Milieu,23 juillet 1987,26,19,Allemagne,"VfL Wolfsburg  "
15,Bresil,3,11,Oscar,3. Milieu,9 septembre 1991,22,31,Angleterre,"Chelsea   "
16,Bresil,3,8,Paulinho,3. Milieu,25 juillet 1988,25,26,Angleterre,"Tottenham Hotspur  "
17,Bresil,3,16,Ramires,3. Milieu,24 mars 1987,27,42,Angleterre,"Chelsea   "
18,Bresil,3,19,Willian,3. Milieu,9 août 1988,25,7,Angleterre,"Chelsea   "
19,Bresil,3,9,Fred,4. Attaquant,3 octobre 1983,30,33,Bresil,"Fluminense   "
20,Bresil,3,7,Hulk,4. Attaquant,25 juillet 1986,27,35,Russie,"Zenit Saint Petersburg "
21,Bresil,3,21,Jô,4. Attaquant,20 mars 1987,27,17,Bresil,"Atletico Mineiro  "
22,Bresil,3,10,Neymar,4. Attaquant,5 février 1992,22,49,Espagne,"Barcelona   "
