rowNumber,Club,Name,Country,Tag,Birthdate,Position
0,Bor. Mönchengladbach,Christensen; Andreas,Dänemark,3,10.04.1996,DF
1,Bor. Mönchengladbach,Hahn; André,Deutschland,28,13.08.1990,FW
2,Bor. Mönchengladbach,Johnson; Fabian,USA,19,11.12.1987,MF
3,Bor. Mönchengladbach,Schulz; Nico,Deutschland,14,01.04.1993,MF
4,Bor. Mönchengladbach,Schulz; Marvin,Deutschland,18,15.01.1995,DF
5,Bor. Mönchengladbach,Wendt; Oscar,Schweden,17,24.10.1985,DF
6,Bor. Mönchengladbach,Elvedi; Nico,Schweiz,30,30.09.1996,DF
7,Bor. Mönchengladbach,Xhaka; Granit,Schweiz,34,27.09.1992,MF
8,Bor. Mönchengladbach,Heimeroth; Christofer,Deutschland,33,01.08.1981,GK
9,Bor. Mönchengladbach,Hrgota; Branimir,Schweden,31,12.01.1993,FW
10,Bor. Mönchengladbach,Stranzl; Martin,Österreich,39,16.06.1980,DF
11,Bor. Mönchengladbach,Ritter; Marlon,Deutschland,36,15.10.1994,FW
12,Bor. Mönchengladbach,Hazard; Thorgan,Belgien,10,29.03.1993,MF
13,Bor. Mönchengladbach,Sippel; Tobias,Deutschland,21,22.03.1988,GK
14,Bor. Mönchengladbach,Stindl; Lars,Deutschland,13,26.08.1988,MF
15,Bor. Mönchengladbach,Drmic; Josip,Schweiz,9,08.08.1992,FW
16,Bor. Mönchengladbach,Sommer; Yann,Schweiz,1,17.12.1988,GK
17,Bor. Mönchengladbach,Raffael,Brasilien,11,28.03.1985,FW
18,Bor. Mönchengladbach,Korb; Julian,Deutschland,27,21.03.1992,DF
19,Bor. Mönchengladbach,Nordtveit; Havard,Norwegen,6,21.06.1990,MF
20,Bor. Mönchengladbach,Dahoud; Mahmoud,Deutschland,8,01.01.1996,MF
21,Bor. Mönchengladbach,Herrmann; Patrick,Deutschland,7,12.02.1991,MF
22,Bor. Mönchengladbach,Brouwers; Roel,Niederlande,4,28.11.1981,DF
23,Bor. Mönchengladbach,Alvaro Dominguez,Spanien,15,16.05.1989,DF
24,Bor. Mönchengladbach,Jantschke; Tony,Deutschland,24,07.04.1990,DF
25,Bor. Mönchengladbach,Traoré; Ibrahima,Guinea,16,21.04.1988,MF
26,VfL Wolfsburg,Ascues; Carlos,Peru,6,06.06.1992,DF
27,VfL Wolfsburg,Seguin; Paul,Deutschland,30,29.03.1995,MF
28,VfL Wolfsburg,Grün; Max,Deutschland,20,05.04.1987,GK
29,VfL Wolfsburg,Schäfer; Marcel,Deutschland,4,07.06.1984,DF
30,VfL Wolfsburg,Luiz Gustavo,Brasilien,22,23.07.1987,MF
31,VfL Wolfsburg,Dost; Bas,Niederlande,12,31.05.1989,FW
32,VfL Wolfsburg,Schürrle; André,Deutschland,17,06.11.1990,MF
33,VfL Wolfsburg,Bendtner; Nicklas,Dänemark,3,16.01.1988,FW
34,VfL Wolfsburg,Draxler; Julian,Deutschland,xx,20.09.1993,MF
35,VfL Wolfsburg,Rodriguez; Ricardo,Schweiz,34,25.08.1992,DF
36,VfL Wolfsburg,Vieirinha,Portugal,8,24.01.1986,DF
37,VfL Wolfsburg,Stolze; Sebastian,Deutschland,33,29.01.1995,FW
38,VfL Wolfsburg,Zawada; Oskar,Polen,32,01.02.1996,FW
39,VfL Wolfsburg,Arnold; Maximilian,Deutschland,27,27.05.1994,MF
40,VfL Wolfsburg,Träsch; Christian,Deutschland,15,01.09.1987,DF
41,VfL Wolfsburg,Knoche; Robin,Deutschland,31,22.05.1992,DF
42,VfL Wolfsburg,Dante,Brasilien,18,18.10.1983,DF
43,VfL Wolfsburg,Felipe,Brasilien,26,07.08.1987,DF
44,VfL Wolfsburg,Naldo,Brasilien,25,10.09.1982,DF
45,VfL Wolfsburg,Kruse; Max,Deutschland,11,19.03.1988,FW
46,VfL Wolfsburg,Sprenger; Moritz,Deutschland,37,22.02.1995,DF
47,VfL Wolfsburg,Azzaoui; Ismail,Belgien,38,06.01.1998,MF
48,VfL Wolfsburg,Caligiuri; Daniel,Italien,7,15.01.1988,MF
49,VfL Wolfsburg,Jung; Sebastian,Deutschland,24,22.06.1990,DF
50,VfL Wolfsburg,Guilavogui; Josuha,Frankreich,23,19.09.1990,MF
51,VfL Wolfsburg,Rodriguez; Francisco,Schweiz,35,14.09.1995,MF
52,VfL Wolfsburg,Klose; Timm,Schweiz,5,09.05.1988,DF
53,VfL Wolfsburg,Benaglio; Diego,Schweiz,1,08.09.1983,GK
54,VfL Wolfsburg,Casteels; Koen,Belgien,28,25.06.1992,GK
55,Borussia Dortmund,Hofmann; Jonas,Deutschland,7,14.07.1992,MF
56,Borussia Dortmund,Sahin; Nuri,Türkei,18,05.09.1988,MF
57,Borussia Dortmund,Bonmann; Hendrik,Deutschland,39,22.01.1994,GK
58,Borussia Dortmund,Sokratis,Griechenland,25,09.06.1988,DF
59,Borussia Dortmund,Leitner; Moritz,Deutschland,14,08.12.1992,MF
60,Borussia Dortmund,Aubameyang; Pierre-Emerick,Gabun,17,18.06.1989,FW
61,Borussia Dortmund,Kagawa; Shinji,Japan,23,17.03.1989,MF
62,Borussia Dortmund,Reus; Marco,Deutschland,11,31.05.1989,MF
63,Borussia Dortmund,Schmelzer; Marcel,Deutschland,29,22.01.1988,DF
64,Borussia Dortmund,Bender; Sven,Deutschland,6,27.04.1989,MF
65,Borussia Dortmund,Großkreutz; Kevin,Deutschland,19,19.07.1988,MF
66,Borussia Dortmund,Ginter; Matthias,Deutschland,28,19.01.1994,DF
67,Borussia Dortmund,Januzaj; Adnan,Belgien,9,05.02.1995,MF
68,Borussia Dortmund,Mkhitaryan; Henrikh,Armenien,10,21.01.1989,MF
69,Borussia Dortmund,Subotic; Neven,Serbien,4,10.12.1988,DF
70,Borussia Dortmund,Park; Joo-Ho,Südkorea,3,16.01.1987,DF
71,Borussia Dortmund,Weidenfeller; Roman,Deutschland,1,06.08.1980,GK
72,Borussia Dortmund,Hummels; Mats,Deutschland,15,16.12.1988,DF
73,Borussia Dortmund,Bürki; Roman,Schweiz,38,14.11.1990,GK
74,Borussia Dortmund,Weigl; Julian,Deutschland,33,08.09.1995,MF
75,Borussia Dortmund,Gündogan; Ilkay,Deutschland,8,24.10.1990,MF
76,Borussia Dortmund,Durm; Erik,Deutschland,37,12.05.1992,DF
77,Borussia Dortmund,Piszczek; Lukasz,Polen,26,03.06.1985,DF
78,Borussia Dortmund,Ramos; Adrian,Kolumbien,20,22.01.1986,FW
79,Borussia Dortmund,Castro; Gonzalo,Deutschland,27,11.06.1987,MF
80,Werder Bremen,Garcia; Santiago,Argentinien,2,08.07.1988,DF
81,Werder Bremen,Busch; Marnon,Deutschland,38,08.12.1994,DF
82,Werder Bremen,Wiedwald; Felix,Deutschland,42,15.03.1990,GK
83,Werder Bremen,Eggestein; Maximilian,Deutschland,35,08.12.1996,MF
84,Werder Bremen,Kroos; Felix,Deutschland,18,12.03.1991,MF
85,Werder Bremen,Galvez; Alejandro,Spanien,4,06.06.1989,DF
86,Werder Bremen,Ujah; Anthony,Nigeria,21,14.10.1990,FW
87,Werder Bremen,Zetterer; Michael,Deutschland,30,12.07.1995,GK
88,Werder Bremen,Aycicek; Levent,Deutschland,10,12.02.1994,MF
89,Werder Bremen,Garcia; Ulisses,Schweiz,20,11.01.1996,DF
90,Werder Bremen,Husic; Raif,Deutschland,40,05.02.1996,GK
91,Werder Bremen,Junuzovic; Zlatko,Österreich,16,26.09.1987,MF
92,Werder Bremen,Lorenzen; Melvyn,Deutschland,28,26.11.1994,FW
93,Werder Bremen,Grillitsch; Florian,Österreich,27,07.08.1995,MF
94,Werder Bremen,Pavlovic; Mateo,Kroatien,15,09.06.1990,DF
95,Werder Bremen,Wolf; Raphael,Deutschland,1,06.06.1988,GK
