rowNumber," name"," position"," height"," foot"
0," Gábor Király"," GK"," 191"," Right"
1," Frederik Boi"," M"," 184"," Right"
2," Tomasz Szewczuk"," A"," 185"," Right"
3," Steeve Joseph-Reinette"," D"," 180"," Left"
4," Kamel Chafni"," M"," 181"," Right"
5," Abdoulaye Faye"," D"," 187"," Right"
6," José Saez"," M"," 170"," Right"
7," Laurent Delorge"," M"," 179"," Right"
8," David Noble"," M"," 183"," Right"
9," Dominic Foley"," A"," 186"," Left"
10," Brian Barry-Murphy"," M"," 185"," Left"
11," Paul McKenna"," M"," 170"," Right"
12," Paweł Abbott"," A"," 187"," Right"
13," Richard Cresswell"," A"," 183"," Right"
14," David Healy"," A"," 173"," Right"
15," Dickson Etuhu"," M"," 188"," Right"
16," Ashley Westwood"," D"," 183"," Right"
17," Paul Ifill"," A"," 180"," Right"
18," David Artell"," D"," 188"," Right"
19," Martin Rowlands"," M"," 175"," Right"
20," Paul Smith"," GK"," 193"," Right"
21," Kevin O'Connor"," D"," 180"," Right"
22," Stephen Hunt"," D"," 185"," Left"
23," Jay Tabb"," M"," 170"," Left"
24," Brynjar Gunnarsson"," M"," 183"," Right"
25," James O'Connor"," M"," 173"," Right"
26," Karl Henry"," M"," 185"," Right"
27," Gareth Owen"," D"," 185"," Left"
28," Kris Commons"," M"," 168"," Left"
29," Stefanos Kotsolis"," GK"," 190"," Right"
30," Louis Carey"," D"," 178"," Right"
31," Steve Phillips"," GK"," 185"," Right"
32," Danny Coles"," D"," 185"," Right"
33," Sotirios Kyrgiakos"," D"," 193"," Right"
34," Monsef Zerka"," M"," 183"," Right"
35," Romain Poyet"," A"," 184"," Right"
36," David Hellebuyck"," M"," 178"," Left"
37," Nicoló Consolini"," D"," 180"," Right"
38," Neca"," M"," 177"," Right"
39," Oka Nikolov"," GK"," 188"," Right"
40," Rolf-Christel Guié-Mien"," M"," 177"," Right"
41," Michael Ratajczak"," GK"," 187"," Right"
42," Ivan Klasnić"," A"," 186"," Left"
43," Clemens Fritz"," D"," 183"," Right"
44," Otto Fredrikson"," GK"," 189"," Right"
45," Cacau"," A"," 179"," Right"
46," Sascha Kirschstein"," GK"," 196"," Right"
47," Tomasz Kuszczak"," GK"," 190"," Right"
48," Timo Ochs"," GK"," 189"," Right"
49," Daniel Haas"," GK"," 188"," Right"
50," Conor Casey"," A"," 188"," Right"
51," Mathias Abel"," D"," 188"," Right"
52," Giuseppe Greco"," A"," 182"," Left"
53," Peter Schyrba"," D"," 185"," Right"
54," Carsten Rothenbach"," D"," 184"," Right"
55," Antônio da Silva"," M"," 178"," Left"
56," Jens Langeneke"," D"," 185"," Right"
57," Goran Šukalo"," M"," 193"," Right"
58," David McCracken"," D"," 188"," Left"
59," Andreas Görlitz"," D"," 179"," Right"
60," Markus Miller"," GK"," 189"," Right"
61," Robert Green"," GK"," 188"," Right"
62," Adam Drury"," D"," 180"," Left"
63," Darel Russell"," M"," 178"," Right"
64," Dexter Langen"," M"," 186"," Right"
65," David Lucas"," GK"," 188"," Left"
66," Graham Alexander"," M"," 180"," Right"
67," Rob Edwards"," D"," 185"," Right"
68," Filip Trojan"," M"," 172"," Left"
69," Simone Padoin"," M"," 179"," Right"
70," Claudio Terzi"," D"," 180"," Right"
71," Marco Pisano"," D"," 174"," Left"
72," Luca Belingheri"," M"," 183"," Right"
73," Stefano Morrone"," M"," 178"," Right"
74," Petri Pasanen"," D"," 187"," Right"
75," Stefan Leitl"," A"," 178"," Right"
76," Ranisav Jovanović"," A"," 193"," Left"
77," Markus Feulner"," M"," 181"," Right"
78," Zvjezdan Misimović"," M"," 180"," Right"
79," Ivica Grlić"," M"," 187"," Right"
80," Florian Heller"," A"," 179"," Right"
81," Matt Hill"," D"," 173"," Left"
82," Craig Woodman"," D"," 175"," Left"
83," Ruud van Nistelrooy"," A"," 188"," Right"
84," Seol Ki Hyeon"," A"," 187"," Right"
85," John Oster"," M"," 175"," Right"
86," Andrea Cossu"," M"," 171"," Right"
87," Marcin Malinowski"," M"," 179"," Right"
88," Alan Dunne"," D"," 180"," Right"
89," Mark Phillips"," D"," 188"," Right"
90," Ben May"," A"," 185"," Left"
91," Gerald Sibon"," A"," 196"," Right"
92," Nicolas Timmermans"," D"," 183"," Right"
93," Jürgen Säumel"," M"," 184"," Left"
94," Alberto Aquilani"," M"," 186"," Right"
95," Simone Pepe"," M"," 178"," Right"
96," Mahamet Diagouraga"," D"," 188"," Right"
97," Roberto Carlos"," M"," 168"," Left"
98," Sergio Bernardo Almirón"," M"," 176"," Right"
99," Philipp Bönig"," D"," 178"," Left"
100," Javier Zanetti"," M"," 178"," Right"
101," Marius Ebbers"," A"," 192"," Right"
102," Benjamin Köhler"," M"," 172"," Left"
103," Liam Miller"," M"," 170"," Right"
104," Rune Almenning Jarstein"," GK"," 190"," Right"
105," Chris Burke"," M"," 175"," Right"
106," Trond Erik Bertelsen"," D"," 174"," Left"
107," Christian Grindheim"," M"," 179"," Right"
108," Jérôme Rothen"," M"," 177"," Left"
109," Benjamin Kibebe"," D"," 187"," Right"
110," Daniel Braaten"," M"," 184"," Right"
111," David Prutton"," M"," 185"," Right"
112," Jack Lester"," A"," 175"," Right"
113," Barry Roche"," GK"," 193"," Right"
114," Frédéric Page"," D"," 185"," Right"
115," Sven Müller"," M"," 191"," Right"
116," Jean Francois Gillet"," GK"," 181"," Left"
117," Lionel Pizzinat"," M"," 183"," Right"
118," Jaime Valdés"," M"," 176"," Right"
119," Richarlyson"," M"," 176"," Left"
120," Gaetano D'Agostino"," M"," 182"," Left"
121," Moris Carrozzieri"," D"," 192"," Right"
122," Patrick Owomoyela"," D"," 187"," Right"
123," Xavi"," M"," 170"," Right"
124," Grétar Steinsson"," D"," 189"," Right"
125," Zoran Tošić"," M"," 171"," Left"
126," Daniele Martinelli"," D"," 181"," Right"
127," François-Joseph Modesto"," M"," 183"," Right"
128," Daniele Conti"," M"," 178"," Right"
129," David Suazo"," A"," 182"," Right"
130," Aleksandar Vuković"," M"," 186"," Right"
131," Łukasz Załuska"," GK"," 191"," Right"
132," Alexander Iashvili"," A"," 175"," Left"
133," Dennis Kruppke"," M"," 179"," Right"
134," Lars Jungnickel"," D"," 180"," Right"
135," Gurpegi"," M"," 181"," Right"
136," Luciano Zauri"," D"," 178"," Right"
137," Artur Boruc"," GK"," 193"," Right"
138," Tomasz Kiełbowicz"," D"," 179"," Left"
139," Cesare Bovo"," D"," 181"," Right"
140," Karel Geraerts"," M"," 186"," Right"
141," Adriano"," A"," 190"," Left"
142," Dennis Eilhoff"," GK"," 190"," Right"
143," Julien François"," M"," 192"," Left"
144," Andrew Frampton"," D"," 185"," Left"
145," Marek Saganowski"," A"," 178"," Right"
146," Iraola"," D"," 182"," Right"
147," Arriaga"," A"," 171"," Right"
148," Aduriz"," A"," 182"," Right"
149," Łukasz Surma"," M"," 173"," Right"
150," Dickson Choto"," D"," 192"," Right"
151," Gabri"," M"," 175"," Right"
152," Grégory Pujol"," A"," 183"," Right"
153," Valdés"," GK"," 183"," Right"
154," Dani Tortolero"," D"," 184"," Right"
155," Giacomo Tedesco"," M"," 176"," Left"
156," Gianluca Pegolo"," GK"," 183"," Left"
157," Mirko Vučinić"," A"," 186"," Right"
158," Alberto Comazzi"," D"," 178"," Right"
159," Davide Brivio"," D"," 185"," Left"
160," Max von Schlebrügge"," D"," 188"," Left"
161," Michael Langer"," GK"," 193"," Right"
162," Marc Ziegler"," GK"," 193"," Right"
163," Fahid Ben Khalfallah"," M"," 170"," Right"
164," Benjamin Genton"," D"," 188"," Right"
165," Yohann Pelé"," GK"," 196"," Right"
166," Mickaël Tacalfred"," D"," 175"," Right"
167," Johan Audel"," M"," 180"," Left"
168," Andrea Campagnolo"," GK"," 184"," Right"
169," Alessandro Del Piero"," A"," 173"," Right"
170," John Mensah"," D"," 180"," Right"
171," Federico Agliardi"," GK"," 190"," Right"
172," René Renno"," GK"," 186"," Right"
173," Juanfran"," D"," 182"," Left"
174," Hamit Altintop"," M"," 183"," Right"
175," Tom Starke"," GK"," 195"," Right"
176," Lúcio"," D"," 188"," Right"
177," Markus Thorandt"," D"," 187"," Right"
178," Markus Bollmann"," D"," 190"," Right"
179," Markus Krösche"," M"," 180"," Right"
180," César Navas"," D"," 194"," Right"
181," Collin Benjamin"," M"," 182"," Right"
182," Deniz Dogan"," D"," 182"," Left"
183," Reto Ziegler"," D"," 183"," Left"
184," Eduardo"," A"," 178"," Right"
185," Stephan Lichtsteiner"," D"," 183"," Right"
186," Patrick Mtiliga"," D"," 171"," Left"
187," Kris De Wree"," D"," 185"," Right"
188," Delron Buckley"," M"," 177"," Left"
189," Enzo Maresca"," M"," 180"," Right"
190," Marco Streller"," A"," 195"," Left"
191," Frankie Hejduk"," D"," 173"," Right"
192," David Degen"," M"," 185"," Right"
193," Wim De Decker"," M"," 186"," Right"
194," Alessandro Nesta"," D"," 187"," Right"
195," Michael Flynn"," M"," 178"," Right"
196," Chris Porter"," A"," 185"," Right"
197," Alan Murphy"," A"," 174"," Left"
198," Christian Weber"," D"," 175"," Right"
199," Alexandr Kerzhakov"," A"," 176"," Right"
200," Bram Castro"," GK"," 191"," Right"
201," Pablo Aimar"," M"," 170"," Right"
202," Yakubu"," A"," 183"," Right"
203," Peter Løvenkrands"," A"," 180"," Left"
204," Youssef El-Akchaoui"," D"," 174"," Left"
205," Gareth McAuley"," D"," 191"," Right"
206," Marco Di Vaio"," A"," 179"," Right"
207," Mark Wilson"," D"," 178"," Right"
208," Juan Pablo"," GK"," 187"," Right"
209," Ochoa"," D"," 191"," Left"
210," Romain Rocchi"," M"," 183"," Right"
211," Dorado"," D"," 180"," Left"
212," Pelegrín"," D"," 184"," Left"
213," Generelo"," M"," 183"," Right"
214," Cani"," M"," 180"," Right"
215," Pinto"," GK"," 185"," Right"
216," Luciano"," D"," 184"," Right"
217," Borja Oubiña"," M"," 181"," Right"
218," Dani Mallo"," GK"," 186"," Right"
219," Carlo Cudicini"," GK"," 185"," Right"
220," Josemi"," D"," 182"," Right"
221," Duda"," M"," 175"," Left"
222," Manolo"," D"," 173"," Right"
223," Nacho"," D"," 175"," Left"
224," Juanma"," M"," 176"," Right"
225," Sylvain Wiltord"," A"," 174"," Right"
226," Carlos García"," D"," 184"," Right"
227," Edu Albácar"," D"," 177"," Left"
228," Moises Hurtado"," M"," 185"," Right"
229," Crusat"," A"," 162"," Left"
230," Jonathan Soriano"," A"," 180"," Right"
231," Corominas"," A"," 171"," Right"
232," Tariq"," A"," 183"," Right"
233," Maximiliano Rodríguez"," A"," 180"," Right"
234," Carmelo"," M"," 180"," Right"
235," Sergio"," D"," 191"," Right"
236," Traianos Dellas"," D"," 196"," Right"
237," Dele Adebola"," A"," 191"," Left"
238," Grégory Proment"," M"," 176"," Right"
239," Paolo Orlandoni"," GK"," 186"," Right"
240," Jofre"," M"," 171"," Left"
241," Alberto"," GK"," 190"," Right"
242," Riera"," A"," 188"," Left"
243," Güiza"," A"," 180"," Right"
244," Moyá"," GK"," 185"," Right"
245," Kike Mateo"," M"," 176"," Right"
246," Rubén"," D"," 187"," Right"
247," Borja"," M"," 188"," Right"
248," Gaspar"," D"," 182"," Right"
249," Mario"," D"," 178"," Left"
250," Óscar"," M"," 176"," Right"
251," De Lucas"," M"," 175"," Right"
252," Aganzo"," A"," 177"," Left"
253," Kevin Kyle"," A"," 191"," Right"
254," Simon Ramsden"," D"," 183"," Right"
255," Stefan Buck"," D"," 189"," Left"
256," Alexander Schnetzler"," D"," 173"," Left"
257," Aranburu"," M"," 180"," Left"
258," Christian Timm"," M"," 180"," Right"
259," Riesgo"," GK"," 185"," Right"
260," Labaka"," D"," 185"," Right"
261," Mikel Alonso"," M"," 180"," Right"
262," Albelda"," M"," 181"," Right"
263," David Navarro"," D"," 183"," Right"
264," Garrido"," D"," 180"," Left"
265," Tena"," D"," 185"," Right"
266," Jandro"," M"," 175"," Right"
267," Pablo Redondo"," M"," 175"," Right"
268," Albiol"," M"," 177"," Right"
269," Dani Bautista"," D"," 177"," Left"
270," Abel"," M"," 182"," Right"
271," Arteaga"," A"," 167"," Left"
272," Reyes"," A"," 176"," Left"
273," Javi Venta"," D"," 180"," Right"
274," Oguchi Onyewu"," D"," 194"," Right"
275," Martí"," M"," 180"," Right"
276," Steeve Elana"," GK"," 187"," Right"
277," Alexandre Alphonse"," A"," 174"," Right"
278," Andreas Wolf"," D"," 182"," Right"
279," Sascha Riether"," D"," 174"," Right"
280," Florian Jarjat"," D"," 181"," Left"
281," Romain Larrieu"," GK"," 188"," Right"
282," Graham Coughlan"," D"," 188"," Right"
283," Paul Wotton"," M"," 180"," Right"
284," Paul Connolly"," D"," 183"," Right"
285," Blair Sturrock"," A"," 183"," Right"
286," Miroslav Klose"," A"," 184"," Right"
287," Fabien Audard"," GK"," 188"," Right"
288," Chaouki Ben Saada"," A"," 170"," Left"
289," Corona"," D"," 182"," Right"
290," Liam Feeney"," M"," 183"," Right"
291," Thomas Butler"," M"," 170"," Right"
292," Carlos Idriss Kameni"," GK"," 186"," Right"
293," Bas Savage"," A"," 191"," Right"
294," Guilherme Afonso"," A"," 187"," Right"
295," Florian Bruns"," M"," 188"," Left"
296," Franck Béria"," D"," 177"," Right"
297," Sébastien Grax"," A"," 180"," Right"
298," Jaroslav Plašil"," M"," 182"," Right"
299," Bertrand Robert"," M"," 174"," Left"
300," Jérémy Toulalan"," M"," 183"," Right"
301," Frazer Richardson"," D"," 178"," Right"
302," Shane Cansdell-Sherriff"," D"," 182"," Left"
303," Jérémy Mathieu"," D"," 190"," Left"
304," Rémi Gomis"," M"," 180"," Right"
305," Cédric Bockhorni"," D"," 182"," Right"
306," François Zoko"," A"," 181"," Right"
307," Renaud Cohade"," M"," 180"," Right"
308," Julien Cardy"," M"," 176"," Right"
309," Thibault Giresse"," M"," 172"," Left"
310," Cédric Fauré"," A"," 186"," Right"
311," Michel Renggli"," M"," 180"," Right"
312," Matabuena"," M"," 185"," Right"
313," Sergey Ignashevich"," D"," 186"," Right"
314," Juanma Ortiz"," M"," 179"," Right"
315," Iván Hernández"," D"," 185"," Right"
316," Diego Rivas"," M"," 180"," Right"
317," Richi"," M"," 187"," Right"
318," Asen"," A"," 181"," Right"
319," Josetxo"," D"," 185"," Right"
320," Pablo Contreras"," D"," 181"," Right"
321," Jim Goodwin"," M"," 183"," Left"
322," David Lopez"," A"," 181"," Right"
323," Antonio López"," D"," 175"," Left"
324," Culebras"," D"," 187"," Right"
325," Juninho"," M"," 178"," Right"
326," Cristian Fiél"," M"," 182"," Left"
327," Jesús Vázquez"," M"," 182"," Left"
328," Fousseni Diawara"," D"," 183"," Right"
329," Jermaine Jones"," M"," 184"," Right"
330," Peña"," D"," 170"," Left"
331," Martin Devaney"," A"," 178"," Right"
332," Clavero"," D"," 175"," Left"
333," Jaio"," D"," 186"," Right"
334," Merino"," M"," 175"," Right"
335," Jon Harley"," D"," 178"," Left"
336," Mauricio Pinilla"," A"," 185"," Right"
337," Federico Balzaretti"," D"," 178"," Left"
338," Davide Mandelli"," D"," 190"," Left"
339," Vlada Avramov"," GK"," 187"," Right"
340," Michele Marcolini"," M"," 173"," Left"
341," Paolo Zanetti"," M"," 186"," Right"
342," Francesco Modesto"," M"," 177"," Left"
343," Almunia"," GK"," 193"," Right"
344," Matthew Spring"," M"," 183"," Right"
345," Saizar"," A"," 175"," Right"
346," Sarriegi"," D"," 185"," Right"
347," Sastre"," D"," 179"," Right"
348," Rubén Suárez"," M"," 167"," Left"
349," David Villa"," A"," 175"," Right"
350," Alejandro"," GK"," 183"," Right"
351," David Bauzá"," M"," 188"," Left"
352," Emmerson Boyce"," D"," 184"," Right"
353," Steve Howard"," A"," 191"," Right"
354," Arzu"," M"," 184"," Right"
355," Moha"," A"," 170"," Left"
356," Nino"," A"," 169"," Right"
357," Emilio Rentería"," A"," 175"," Right"
358," Lee Mansell"," M"," 175"," Right"
359," Matt Gilks"," GK"," 185"," Right"
360," Clive Platt"," A"," 193"," Right"
361," Ortiz"," A"," 172"," Right"
362," Sorribas"," M"," 179"," Right"
363," Nacho Rodríguez"," A"," 180"," Left"
364," Javier Baraja"," D"," 179"," Right"
365," Nano"," D"," 186"," Left"
366," Robbie Russell"," D"," 180"," Right"
367," Andriy Voronin"," A"," 176"," Right"
368," Christian Wetklo"," GK"," 190"," Right"
369," Andrew Dawson"," D"," 175"," Left"
370," Nathan Stanton"," D"," 175"," Right"
371," Marcel Maltritz"," D"," 186"," Right"
372," Jamie McCombe"," D"," 196"," Right"
373," Marco Wölfli"," GK"," 186"," Left"
374," Luigi Pieroni"," A"," 187"," Right"
375," Juanma"," GK"," 182"," Left"
376," Abraham Paz"," D"," 178"," Right"
377," Iñaki Bea"," D"," 185"," Right"
378," Dean Bennett"," M"," 183"," Right"
379," Iraizoz"," GK"," 191"," Right"
380," Mike Edwards"," D"," 183"," Right"
381," Andy Holt"," D"," 185"," Left"
382," Jérémy Hénin"," D"," 186"," Right"
383," Gary Alexander"," A"," 180"," Right"
384," Cristian"," D"," 169"," Right"
385," Bruno Berner"," D"," 185"," Left"
386," Diego Benaglio"," GK"," 194"," Right"
387," Armando"," D"," 186"," Right"
388," Peter Murphy"," D"," 183"," Left"
389," Marchena"," D"," 183"," Right"
390," Calatayud"," GK"," 191"," Right"
391," Mario Eggimann"," D"," 189"," Right"
392," Christofer Heimeroth"," GK"," 194"," Right"
393," Rubén Castro"," A"," 174"," Right"
394," Pedro Vega"," M"," 168"," Left"
