rowNumber,player_num,position,player_name,club,age,height,weight,birthplace
0,11,F,David Accam,Chicago Fire,24,5' 9'',154,Ghana
1,23,D/M,Kellyn Acosta,FC Dallas,19,5' 10'',150,USA
2,NA,D,Ada?lton,Chicago Fire,31,6' 3'',180,Brazil
3,3,D,Sam Adekugbe,Vancouver Whitecaps FC,19,5' 9'',165,England
4,9,F,Fanendo Adi,Portland Timbers,24,6' 4'',185,Nigeria
5,13,F,Tesho Akindele,FC Dallas,22,6' 1'',170,Canada
6,NA,M,Fatai Alashe,,21,6',170,USA
7,12,M,Eric Alexander,New York Red Bulls,26,6' 1'',165,USA
8,7,D/M,Jordan Allen,Real Salt Lake,19,5' 11'',160,USA
9,6,M,Osvaldo Alonso,Seattle Sounders FC,29,5' 11'',165,Cuba
10,30,D,Kevin Alston,New England Revolution,26,5' 8'',160,USA
11,24,F,Quincy Amarikwa,Chicago Fire,27,5' 9'',180,USA
12,NA,D,Jalil Anibaba,Sporting Kansas City,26,6',185,USA
13,NA,M,Bernardo A?or,Sporting Kansas City,26,5' 8'',158,Venezuela
14,34,M,Manny Aparicio,Toronto FC,19,5' 6'',149,Argentina
15,5,D,Armando,New York Red Bulls,30,6' 1'',175,Spain
16,8,M,Davy Arnaud,D.C. United,34,5' 11'',160,USA
17,NA,F,Jairo Arrieta,Orlando City SC,31,5' 9'',150,Costa Rica
18,26,M,Corey Ashe,Houston Dynamo,28,5' 5'',154,USA
19,NA,M/F,Dairon Asprilla,Portland Timbers,22,5' 11'',165,Colombia
20,24,GK,Jeff Attinella,Real Salt Lake,26,6' 2'',190,USA
21,42,M,Micheal Azira,Seattle Sounders FC,27,5' 10'',160,Uganda
22,NA,M,Mehdi Ballouchy,New York City FC,31,5' 11'',169,Morocco
23,26,D,Brandon Barklage,San Jose Earthquakes,28,5' 11'',165,USA
24,25,D,Darrius Barnes,New England Revolution,28,6' 1'',175,USA
25,23,M,Giles Barnes,Houston Dynamo,26,5' 11'',181,England
26,NA,M,Leandro Barrera,San Jose Earthquakes,23,5' 8'',171,Argentina
27,19,F,Chad Barrett,Seattle Sounders FC,29,5' 11'',185,USA
28,21,D,Chad Barson,Columbus Crew SC,23,5' 10'',170,USA
29,21,D/M,DaMarcus Beasley,Houston Dynamo,32,5' 8'',145,USA
30,5,M,Kyle Beckerman,Real Salt Lake,32,5' 11'',165,USA
31,29,F,Adam Bedell,Columbus Crew SC,23,6' 6'',204,USA
32,33,D/M,Steven Beitashour,Vancouver Whitecaps FC,27,5' 10'',170,USA
33,8,M,Kyle Bekker,Toronto FC,24,5' 9'',165,Canada
34,27,M,Louis B?land-Goyette,Montreal Impact,19,5' 8'',140,Canada
35,2,D,Tony Beltran,Real Salt Lake,27,5' 8'',150,USA
36,12,GK,Joe Bendik,Toronto FC,25,6' 2'',217,USA
37,5,D,V?ctor Bern?rdez,San Jose Earthquakes,32,6' 2'',190,Honduras
38,12,GK,John Berner,Colorado Rapids,23,6' 3'',205,USA
39,8,M,Patrice Bernier,Montreal Impact,35,5' 9'',170,Canada
40,4,D,Austin Berry,Philadelphia Union,26,6' 2'',188,USA
41,5,D,Matt Besler,Sporting Kansas City,27,6',170,USA
42,NA,M,Nick Besler,,21,6' 1'',165,USA
43,16,F,Claudio Bieler,Sporting Kansas City,30,5' 11'',171,Argentina
44,15,D,Steve Birnbaum,D.C. United,23,6' 2'',180,USA
45,1,GK,Andre Blake,Philadelphia Union,24,6' 4'',175,Jamaica
46,28,D,Mark Bloom,Toronto FC,27,5' 11'',162,USA
47,NA,D,Nat Borchers,Portland Timbers,33,6' 2'',175,USA
