rowNumber,displayName,firstName,lastName,leagueShortname,fullName,leagueName,shortName
0,Christian Benteke,Christian,Benteke,Premier League,Christian Benteke,Barclays Premier League,C. Benteke
1,Saido Berahino,Saido,Berahino,Premier League,Saido Berahino,Barclays Premier League,S. Berahino
2,Ryan Bertrand,Ryan,Bertrand,Premier League,Ryan Bertrand,Barclays Premier League,R. Bertrand
3,Muhamed Besic,Muhamed,Besic,Premier League,Muhamed Besic,Barclays Premier League,M. Besic
4,Christian Benteke,Christian,Benteke,Premier League,Christian Benteke,Barclays Premier League,C. Benteke
5,Saido Berahino,Saido,Berahino,Premier League,Saido Berahino,Barclays Premier League,S. Berahino
6,Ryan Bertrand,Ryan,Bertrand,Premier League,Ryan Bertrand,Barclays Premier League,R. Bertrand
7,Muhamed Besic,Muhamed,Besic,Premier League,Muhamed Besic,Barclays Premier League,M. Besic
8,Paulinho,Paulinho,Bezzera Maciel Júnior,Premier League,Paulinho Bezzera Maciel Júnior,Barclays Premier League,P. Bezzera Maciel Júnior
9,Mame Biram Diouf,Mame,Biram Diouf,Premier League,Mame Biram Diouf,Barclays Premier League,M. Biram Diouf
10,Tyler Blackett,Tyler,Blackett,Premier League,Tyler Blackett,Barclays Premier League,T. Blackett
11,Sebastián Blanco,Sebastián,Blanco,Premier League,Sebastián Blanco,Barclays Premier League,S. Blanco
12,Daley Blind,Daley,Blind,Premier League,Daley Blind,Barclays Premier League,D. Blind
13,Hiram Boateng,Hiram,Boateng,Premier League,Hiram Boateng,Barclays Premier League,H. Boateng
14,Yannick Bolasie,Yannick,Bolasie,Premier League,Yannick Bolasie,Barclays Premier League,Y. Bolasie
15,Wilfried Bony,Wilfried,Bony,Premier League,Wilfried Bony,Barclays Premier League,W. Bony
16,Fabio Borini,Fabio,Borini,Premier League,Fabio Borini,Barclays Premier League,F. Borini
17,Dedryck Boyata,Dedryck,Boyata,Premier League,Dedryck Boyata,Barclays Premier League,D. Boyata
18,George Boyd,George,Boyd,Premier League,George Boyd,Barclays Premier League,G. Boyd
19,Robert Brady,Robert,Brady,Premier League,Robert Brady,Barclays Premier League,R. Brady
20,Liam Bridcutt,Liam,Bridcutt,Premier League,Liam Bridcutt,Barclays Premier League,L. Bridcutt
21,Leon Britton,Leon,Britton,Premier League,Leon Britton,Barclays Premier League,L. Britton
22,Brown Ideye,Ideye,Brown,Premier League,Ideye Aide Brown,Barclays Premier League,I. Brown
23,Wes Brown,Wes,Brown,Premier League,Wes Brown,Barclays Premier League,W. Brown
24,Tyias Browning,Tyias,Browning,Premier League,Tyias Browning,Barclays Premier League,T. Browning
25,Alex Bruce,Alex,Bruce,Premier League,Alex Bruce,Barclays Premier League,A. Bruce
26,Chris Brunt,Chris,Brunt,Premier League,Chris Brunt,Barclays Premier League,C. Brunt
27,William Buckley,William,Buckley,Premier League,William Buckley,Barclays Premier League,W. Buckley
28,Reece Burke,Reece,Burke,Premier League,Reece Burke,Barclays Premier League,R. Burke
29,Jack Butland,Jack,Butland,Premier League,Jack Butland,Barclays Premier League,J. Butland
30,Wilfredo Caballero,Wilfredo,Caballero,Premier League,Wilfredo Caballero,Barclays Premier League,W. Caballero
31,Rémy Cabella,Rémy,Cabella,Premier League,Rémy Cabella,Barclays Premier League,R. Cabella
32,Gary Cahill,Gary,Cahill,Premier League,Gary Cahill,Barclays Premier League,G. Cahill
33,Esteban Cambiasso,Esteban,Cambiasso,Premier League,Esteban Matias Cambiasso,Barclays Premier League,E. Cambiasso
34,Geoff Cameron,Geoff,Cameron,Premier League,Geoff Cameron,Barclays Premier League,G. Cameron
35,Fraizer Campbell,Fraizer,Campbell,Premier League,Fraizer Campbell,Barclays Premier League,F. Campbell
36,Joel Campbell,Joel,Campbell,Premier League,Joel Campbell,Barclays Premier League,J. Campbell
37,Emre Can,Emre,Can,Premier League,Emre Can,Barclays Premier League,E. Can
38,Etienne Capoue,Etienne,Capoue,Premier League,Etienne Capoue,Barclays Premier League,E. Capoue
39,Michael Carrick,Michael,Carrick,Premier League,Michael Carrick,Barclays Premier League,M. Carrick
40,Andrew Carroll,Andy,Carroll,Premier League,Andy Carroll,Barclays Premier League,A. Carroll
41,Thomas Carroll,Thomas,Carroll,Premier League,Thomas Carroll,Barclays Premier League,T. Carroll
42,Lee Cattermole,Lee,Cattermole,Premier League,Lee Cattermole,Barclays Premier League,L. Cattermole
43,Steven Caulker,Steven,Caulker,Premier League,Steven Caulker,Barclays Premier League,S. Caulker
44,Santi Cazorla,Santi,Cazorla,Premier League,Santi Gonzalez Cazorla,Barclays Premier League,S. Cazorla
45,Cristian Ceballos,Cristian,Ceballos,Premier League,Cristian Ceballos,Barclays Premier League,C. Ceballos
46,Petr Cech,Petr,Cech,Premier League,Petr Cech,Barclays Premier League,P. Cech
47,Nacer Chadli,Nacer,Chadli,Premier League,Nacer Chadli,Barclays Premier League,N. Chadli
48,Nathaniel Chalobah,Nathaniel,Chalobah,Premier League,Nathaniel Chalobah,Barclays Premier League,N. Chalobah
49,Marouane Chamakh,Marouane,Chamakh,Premier League,Marouane Chamakh,Barclays Premier League,M. Chamakh
50,Calum Chambers,Calum,Chambers,Premier League,Calum Chambers,Barclays Premier League,C. Chambers
51,James Chester,James,Chester,Premier League,James Chester,Barclays Premier League,J. Chester
52,Vlad Chiriches,Vlad,Chiriches,Premier League,Vlad Chiriches,Barclays Premier League,V. Chiriches
53,Papiss Demba Cisse,Papiss Demba,Cisse,Premier League,Papiss Demba Cisse,Barclays Premier League,P. Cisse
54,Gaël Clichy,Gaël,Clichy,Premier League,Gaël Clichy,Barclays Premier League,G. Clichy
55,Nathaniel Clyne,Nathaniel,Clyne,Premier League,Nathaniel Clyne,Barclays Premier League,N. Clyne
56,Sebastián Coates,Sebastián,Coates,Premier League,Sebastián Coates,Barclays Premier League,S. Coates
57,Jack Colback,Jack,Colback,Premier League,Jack Colback,Barclays Premier League,J. Colback
58,Carlton Cole,Carlton,Cole,Premier League,Carlton Cole,Barclays Premier League,C. Cole
59,Joe Cole,Joe,Cole,Premier League,Joe Cole,Barclays Premier League,J. Cole
60,Seamus Coleman,Seamus,Coleman,Premier League,Seamus Coleman,Barclays Premier League,S. Coleman
61,James Collins,James,Collins,Premier League,James Collins,Barclays Premier League,J. Collins
62,Fabricio Coloccini,Fabricio,Coloccini,Premier League,Fabricio Coloccini,Barclays Premier League,F. Coloccini
63,Francis Coquelin,Francis,Coquelin,Premier League,Francis Coquelin,Barclays Premier League,F. Coquelin
64,Jack  Cork,Jack,Cork,Premier League,Jack  Cork,Barclays Premier League,J. Cork
