rowNumber,sn,fn,ln,no,ps,nt,db,ag,ht,go/at,cb,cn
0,Bot??a,Alberto,Bot??a,3,2,ESP,27.01.1989,26,187,1,Olympiacos,GRE
1,Bouchalakis,Andreas,Bouchalakis,8,3,GRE,05.04.1993,22,186,0,Olympiacos,GRE
2,Ideye,Ideye,Brown,99,4,NGA,10.10.1988,26,180,4,Olympiacos,GRE
3,Cambiasso,Esteban,Cambiasso,91,3,ARG,18.08.1980,35,177,6,Olympiacos,GRE
4,Choutesiotis,Lefteris,Choutesiotis,33,1,GRE,20.07.1994,21,192,0,Olympiacos,GRE
5,Da Costa,Manuel,da Costa,6,2,MAR,06.05.1986,29,191,0,Olympiacos,GRE
6,Dom??nguez,Alejandro,Dom??nguez,10,3,ARG,10.06.1981,34,175,7,Olympiacos,GRE
7,Elabdellaoui,Omar,Elabdellaoui,14,2,NOR,05.12.1991,23,179,0,Olympiacos,GRE
8,Finnbogason,Alfred,Finnbogason,9,4,ISL,01.02.1989,26,181,1,Olympiacos,GRE
9,Fortounis,Kostas,Fortounis,7,3,GRE,16.10.1992,22,182,0,Olympiacos,GRE
10,Hern??ni,,Hern??ni,77,4,POR,20.08.1991,24,180,0,Olympiacos,GRE
11,Kapino,Stefanos,Kapino,37,1,GRE,18.03.1994,21,193,0,Olympiacos,GRE
12,Kasami,Pajtim,Kasami,11,3,SUI,02.06.1992,23,187,1,Olympiacos,GRE
13,Laci,Qazim,Laci,15,3,ALB,19.01.1996,19,176,0,Olympiacos,GRE
14,Leandro Salino,,Leandro Salino,30,2,BRA,22.04.1985,30,168,0,Olympiacos,GRE
15,Maniatis,Giannis,Maniatis,2,2,GRE,12.10.1986,28,178,1,Olympiacos,GRE
16,Masuaku,Arthur,Masuaku,26,2,FRA,07.11.1993,21,179,1,Olympiacos,GRE
17,Milivojevi??,Luka,Milivojevi??,5,3,SRB,07.04.1991,24,182,0,Olympiacos,GRE
18,Pardo,Felipe,Pardo,90,4,COL,17.08.1990,25,,0,Olympiacos,GRE
19,Pulido,Alan,Pulido,17,4,MEX,08.03.1991,24,175,0,Olympiacos,GRE
20,Roberto,,Roberto,16,1,ESP,10.02.1986,29,195,0,Olympiacos,GRE
21,Saliakas,Manolis,Saliakas,34,2,GRE,12.09.1996,19,175,0,Olympiacos,GRE
22,Seb??,,Seb??,92,4,BRA,08.06.1992,23,182,0,Olympiacos,GRE
23,Siovas,Dimitris,Siovas,23,2,GRE,16.09.1988,27,191,0,Olympiacos,GRE
24,Vouros,Praxitelis,Vouros,29,2,GRE,05.05.1995,20,183,0,Olympiacos,GRE
25,Asare,Nana,Asare,21,2,GHA,11.07.1986,29,175,0,Gent,BEL
26,Coulibaly,Kalifa,Coulibaly,7,3,MLI,21.08.1991,24,197,0,Gent,BEL
27,Dejaegere,Brecht,Dejaegere,19,3,BEL,29.05.1991,24,174,0,Gent,BEL
28,Depoitre,Laurent,Depoitre,9,4,BEL,07.12.1988,26,191,0,Gent,BEL
29,Foket,Thomas,Foket,32,3,BEL,25.09.1994,20,177,0,Gent,BEL
30,E. Johansson,Erik,Johansson,5,2,SWE,30.12.1988,26,180,0,Gent,BEL
31,Kums,Sven,Kums,14,3,BEL,26.02.1988,27,178,0,Gent,BEL
32,Matton,Thomas,Matton,8,3,BEL,24.10.1985,29,180,0,Gent,BEL
33,Milicevic,Danijel,Milicevic,77,3,SUI,05.01.1986,29,177,1,Gent,BEL
34,S. Mitrovi??,Stefan,Mitrovi??,13,2,SRB,22.05.1990,25,,0,Gent,BEL
35,L. Nielsen,Lasse,Nielsen,23,2,DEN,08.01.1988,27,185,0,Gent,BEL
36,Pedersen,Nicklas,Pedersen,28,4,DEN,10.10.1987,27,187,0,Gent,BEL
37,Poletanovi??,Marko,Poletanovi??,12,3,SRB,20.07.1993,22,187,0,Gent,BEL
38,Rafinha,,Rafinha,4,2,BRA,29.06.1982,33,182,1,Gent,BEL
39,Raman,Benito,Raman,26,4,BEL,07.11.1994,20,172,0,Gent,BEL
40,Renato Neto,,Renato Neto,10,3,BRA,27.09.1991,23,187,0,Gent,BEL
41,Saief,Kenneth,Saief,15,3,ISR,17.12.1993,21,176,0,Gent,BEL
42,Sels,Matz,Sels,1,1,BEL,26.02.1992,23,188,0,Gent,BEL
43,Simon,Moses,Simon,27,4,NGA,12.07.1995,20,166,0,Gent,BEL
44,Thoelen,Yannick,Thoelen,20,1,BEL,18.07.1990,25,,0,Gent,BEL
45,Van der Bruggen,Hannes,Van der Bruggen,17,3,BEL,01.04.1993,22,180,0,Gent,BEL
46,Vandenbussche,Brian,Vandenbussche,25,1,BEL,24.09.1981,33,196,0,Gent,BEL
47,Vitas,Uro??,Vitas,3,2,SRB,06.07.1992,23,187,0,Gent,BEL
48,Adel,Anthony,Adel,66,3,FRA,11.01.1998,17,,0,Lyon,FRA
49,Aouar,Houssem,Aouar,47,3,FRA,30.06.1998,17,,0,Lyon,FRA
50,Beauvue,Claudio,Beauvue,9,4,FRA,16.04.1988,27,174,0,Lyon,FRA
51,Bedimo,Henri,Bedimo,3,2,CMR,04.06.1984,31,180,0,Lyon,FRA
52,Belkacemi,Abdenour,Belkacemi,49,3,FRA,18.09.1999,16,,0,Lyon,FRA
53,Benjeddi,Adil,Benjeddi,51,2,FRA,29.01.1997,18,,0,Lyon,FRA
54,Bi??evac,Milan,Bi??evac,5,2,SRB,31.08.1983,32,187,1,Lyon,FRA
55,Cognat,Timoth??,Cognat,54,3,FRA,25.01.1998,17,,0,Lyon,FRA
56,Cornet,Maxwel,Cornet,27,4,FRA,27.09.1996,18,179,0,Lyon,FRA
57,D'Arpino,Maxime,D'Arpino,34,3,FRA,17.06.1996,19,,0,Lyon,FRA
58,De Sousa,J??r??my,De Sousa,52,3,FRA,16.01.1996,19,,0,Lyon,FRA
59,Del Castillo,Romain,Del Castillo,36,3,FRA,29.03.1996,19,,0,Lyon,FRA
60,Diakhaby,Mouctar,Diakhaby,41,2,FRA,19.12.1996,18,,0,Lyon,FRA
61,Dzabana,Alan,Dzabana,55,4,FRA,25.03.1997,18,,0,Lyon,FRA
62,Fekir,Nabil,Fekir,18,3,FRA,18.07.1993,22,173,0,Lyon,FRA
63,Ferri,Jordan,Ferri,12,3,FRA,12.03.1992,23,172,0,Lyon,FRA
