rowNumber,Player,Country,Position,Number,Age
0,Fabrice OLINGA,Cameroon,Forward,19,18
1,Luke SHAW,England,Defender,23,18
2,Nabil BENTALEB,Algeria,Midfielder,14,19
3,Divock ORIGI,Belgium,Forward,17,19
4,Adnan JANUZAJ,Belgium,Midfielder,20,19
5,Carlos GRUEZO,Ecuador,Midfielder,23,19
6,Raheem STERLING,England,Midfielder,19,19
7,Jose GIMENEZ,Uruguay,Defender,13,19
8,Julian GREEN,USA,Midfielder,16,19
9,Sead KOLASINAC,Bosnia & Herzegovina,Defender,5,20
10,Ante REBIC,Croatia,Forward,16,20
11,Mateo KOVACIC,Croatia,Midfielder,20,20
12,Alex OXLADE CHAMBERLAIN,England,Midfielder,15,20
13,Ross BARKLEY,England,Midfielder,21,20
14,Lucas DIGNE,France,Defender,17,20
15,Julian DRAXLER,Germany,Midfielder,14,20
16,Matthias GINTER,Germany,Defender,3,20
17,Stefanos KAPINO,Greece,Goalkeeper,13,20
18,Luis LOPEZ,Honduras,Goalkeeper,1,20
19,Alireza JAHAN BAKHSH,Iran,Forward,9,20
20,Terence KONGOLO,Netherlands,Defender,14,20
21,Memphis DEPAY,Netherlands,Forward,21,20
22,Kenneth OMERUO,Nigeria,Defender,22,20
23,DeAndre YEDLIN,USA,Defender,2,20
24,Adam TAGGART,Australia,Forward,9,21
25,Massimo LUONGO,Australia,Midfielder,21,21
26,Bailey WRIGHT,Australia,Defender,8,21
27,Romelu LUKAKU,Belgium,Forward,9,21
28,Muhamed BESIC,Bosnia & Herzegovina,Midfielder,7,21
29,BERNARD,Brazil,Forward,20,21
30,Cedric DJEUGOUE,Cameroon,Defender,4,21
31,Edgar SALLI,Cameroon,Midfielder,20,21
32,Eder BALANTA,Colombia,Defender,16,21
33,Juan QUINTERO,Colombia,Midfielder,20,21
34,Joel CAMPBELL,Costa Rica,Forward,9,21
35,Oliver ZELENIKA,Croatia,Goalkeeper,12,21
36,Ivan MOCINIC,Croatia,Midfielder,15,21
37,Marcelo BROZOVIC,Croatia,Midfielder,14,21
38,Paul POGBA,France,Midfielder,19,21
39,Raphael VARANE,France,Defender,4,21
40,Rashid SUMAILA,Ghana,Defender,15,21
41,Andy NAJAR,Honduras,Midfielder,17,21
42,Marco VERRATTI,Italy,Midfielder,23,21
43,Mattia DE SCIGLIO,Italy,Defender,2,21
44,Mattia PERIN,Italy,Goalkeeper,13,21
45,Sayouba MANDE,Ivory Coast,Goalkeeper,23,21
46,Ismael DIOMANDE,Ivory Coast,Midfielder,14,21
47,Jean Daniel AKPA,Ivory Coast,Defender,7,21
48,Serge AURIER,Ivory Coast,Defender,17,21
49,Diego REYES,Mexico,Defender,5,21
50,Ahmed MUSA,Nigeria,Forward,7,21
51,Ogenyi ONAZI,Nigeria,Midfielder,17,21
52,Ramon AZEEZ,Nigeria,Midfielder,15,21
53,Michael BABATUNDE,Nigeria,Forward,18,21
54,RAFA,Portugal,Forward,15,21
55,SON Heungmin,South Korea,Midfielder,9,21
56,Josip DRMIC,Switzerland,Forward,19,21
57,Granit XHAKA,Switzerland,Midfielder,10,21
58,Ricardo RODRIGUEZ,Switzerland,Defender,13,21
59,John BROOKS,USA,Defender,6,21
60,Saphir TAIDER,Algeria,Midfielder,19,22
61,Aissa MANDI,Algeria,Defender,20,22
62,Tommy OAR,Australia,Midfielder,11,22
63,Maty RYAN,Australia,Goalkeeper,1,22
64,Ben HALLORAN,Australia,Forward,10,22
65,Jason DAVIDSON,Australia,Defender,3,22
66,Kevin DE BRUYNE,Belgium,Midfielder,7,22
67,Thibaut COURTOIS,Belgium,Goalkeeper,1,22
68,Izet HAJROVIC,Bosnia & Herzegovina,Midfielder,20,22
69,Tino Sven SUSIC,Bosnia & Herzegovina,Midfielder,14,22
70,NEYMAR,Brazil,Forward,10,22
71,OSCAR,Brazil,Midfielder,11,22
72,Vincent ABOUBAKAR,Cameroon,Forward,10,22
73,Joel MATIP,Cameroon,Midfielder,21,22
74,Loic FEUDJOU,Cameroon,Goalkeeper,1,22
75,James RODRIGUEZ,Colombia,Midfielder,10,22
