rowNumber,Team,Number,Position,FullName,Club,ClubCountry,DateOfBirth,IsCaptain
0,South Africa,1,GK,Moeneeb Josephs,Orlando Pirates FC,RSA,5/19/1980,FALSE
1,South Africa,2,DF,Siboniso Gaxa,Mamelodi Sundowns F.C.,RSA,4/6/1984,FALSE
2,South Africa,3,DF,Tsepo Masilela,Maccabi Haifa F.C.,ISR,5/5/1985,FALSE
3,South Africa,4,DF,Aaron Mokoena,Portsmouth F.C.,ENG,11/25/1980,TRUE
4,South Africa,5,DF,Anele Ngcongca,K.R.C. Genk,BEL,10/20/1987,FALSE
5,South Africa,6,MF,MacBeth Sibaya,FC Rubin Kazan,RUS,11/25/1977,FALSE
6,South Africa,7,MF,Lance Davids,Ajax Cape Town FC,RSA,4/11/1985,FALSE
7,South Africa,8,MF,Siphiwe Tshabalala,Kaizer Chiefs FC,RSA,9/25/1984,FALSE
8,South Africa,9,FW,Katlego Mphela,Mamelodi Sundowns F.C.,RSA,11/29/1984,FALSE
9,South Africa,10,MF,Steven Pienaar,Everton F.C.,ENG,3/17/1982,FALSE
10,South Africa,11,MF,Teko Modise,Orlando Pirates FC,RSA,12/22/1982,FALSE
11,South Africa,12,MF,Reneilwe Letsholonyane,Kaizer Chiefs FC,RSA,6/9/1982,FALSE
12,South Africa,13,MF,Kagisho Dikgacoi,Fulham F.C.,ENG,11/24/1984,FALSE
13,South Africa,14,DF,Matthew Booth,Mamelodi Sundowns F.C.,RSA,3/14/1977,FALSE
14,South Africa,15,DF,Lucas Thwala,Orlando Pirates FC,RSA,10/19/1981,FALSE
15,South Africa,16,GK,Itumeleng Khune,Kaizer Chiefs FC,RSA,6/20/1987,FALSE
16,South Africa,17,FW,Bernard Parker,FC Twente,NED,3/16/1986,FALSE
17,South Africa,18,FW,Siyabonga Nomvethe,Moroka Swallows F.C.,RSA,12/2/1977,FALSE
18,South Africa,19,MF,Surprise Moriri,Mamelodi Sundowns F.C.,RSA,3/20/1980,FALSE
19,South Africa,20,DF,Bongani Khumalo,Supersport United F.C.,RSA,1/6/1987,FALSE
20,South Africa,21,DF,Siyabonga Sangweni,Golden Arro,RSA,9/29/1981,FALSE
21,South Africa,22,GK,Shu-Aib Walters,Maritzburg United F.C.,RSA,12/26/1981,FALSE
22,South Africa,23,MF,Thanduyise Khuboni,Golden Arro,RSA,5/23/1986,FALSE
23,Mexico,1,GK,,Chiapas F.C.,MEX,2/1/1973,FALSE
24,Mexico,2,DF,,PSV Eindhov,NED,10/20/1981,FALSE
25,Mexico,3,DF,Carlos Salcido,PSV Eindhov,NED,4/2/1980,FALSE
26,Mexico,4,DF,,FC Barcelona,ESP,2/13/1979,TRUE
27,Mexico,5,DF,Ricardo Osorio,VfB Stuttga,GER,3/30/1980,FALSE
28,Mexico,6,MF,Gerardo Torrado,Cruz Az,MEX,4/30/1979,FALSE
29,Mexico,7,MF,Pablo Barrera,Club Universidad Nacional,MEX,6/21/1987,FALSE
30,Mexico,8,MF,Israel Castro,Club Universidad Nacional,MEX,12/29/1980,FALSE
31,Mexico,9,FW,Guillermo Franco,West Ham United F.C.,ENG,11/3/1976,FALSE
32,Mexico,10,FW,,Tiburones Rojos de Veracruz,MEX,1/17/1973,FALSE
33,Mexico,11,FW,Carlos Vela,Arsenal F.C.,ENG,3/1/1989,FALSE
34,Mexico,12,DF,Paul Aguilar,C.F. Pachuca,MEX,3/6/1986,FALSE
35,Mexico,13,GK,Guillermo Ochoa,Club AmÃ©rica,MEX,7/13/1985,FALSE
36,Mexico,14,FW,,C.D. Guadalajara,MEX,6/1/1988,FALSE
37,Mexico,15,DF,,AZ (football club),NED,1/17/1988,FALSE
38,Mexico,16,DF,,Club Universidad Nacional,MEX,2/22/1988,FALSE
39,Mexico,17,FW,Giovani dos Santos,Galatasaray S.K. (football team),TUR,5/11/1989,FALSE
40,Mexico,18,MF,,Deportivo de La CoruÃ±a,ESP,9/28/1986,FALSE
41,Mexico,19,DF,,C.D. Guadalajara,MEX,11/21/1981,FALSE
42,Mexico,20,DF,Jorge Torres Nilo,Club Atlas,MEX,1/16/1988,FALSE
43,Mexico,21,FW,Adolfo Bautista,C.D. Guadalajara,MEX,5/15/1979,FALSE
44,Mexico,22,MF,Alberto Medina,C.D. Guadalajara,MEX,5/29/1983,FALSE
45,Mexico,23,GK,Luis Ernesto Michel,C.D. Guadalajara,MEX,7/21/1979,FALSE
46,Uruguay,1,GK,Fernando Muslera,S.S. Lazio,ITA,6/16/1986,FALSE
47,Uruguay,2,DF,Diego Lugano,FenerbahÃ§e S.K.,TUR,11/2/1980,TRUE
48,Uruguay,3,DF,,Villarreal CF,ESP,2/16/1986,FALSE
49,Uruguay,4,DF,Jorge Fucile,F.C. Porto,POR,11/19/1984,FALSE
50,Uruguay,5,MF,Walter Gargano,S.S.C. Napoli,ITA,7/23/1984,FALSE
51,Uruguay,6,DF,Mauricio Victorino,C.F. Universidad de Chile,CHI,10/11/1982,FALSE
52,Uruguay,7,FW,Edinson Cavani,U.S. CittÃ  di Palermo,ITA,2/14/1987,FALSE
53,Uruguay,8,MF,,AIK Fotboll,SWE,1/8/1981,FALSE
54,Uruguay,9,FW,,AFC Ajax,NED,1/24/1987,FALSE
55,Uruguay,10,FW,,AtlÃ©tico Madr,ESP,5/19/1979,FALSE
56,Uruguay,11,MF,Ãlvaro Pereira,F.C. Porto,POR,11/28/1985,FALSE
57,Uruguay,12,GK,Juan Guillermo Castillo,Deportivo Ca,COL,4/17/1978,FALSE
58,Uruguay,13,FW,,Botafogo de Futebol e Regatas,BRA,10/17/1976,FALSE
59,Uruguay,14,MF,,AFC Ajax,NED,3/21/1989,FALSE
60,Uruguay,15,MF,,AS Monaco FC,FRA,5/18/1980,FALSE
61,Uruguay,16,DF,Maximiliano Pereira,S.L. Benfica,POR,6/8/1984,FALSE
62,Uruguay,17,MF,,C.A. PeÃ±arol,URU,1/1/1982,FALSE
63,Uruguay,18,MF,,Valencia CF,ESP,5/14/1982,FALSE
64,Uruguay,19,DF,,Colo-Co,CHI,12/14/1974,FALSE
65,Uruguay,20,MF,,C.F. Universidad de Chile,CHI,10/11/1985,FALSE
66,Uruguay,21,FW,,Club AtlÃ©tico Banfield,ARG,5/23/1985,FALSE
67,Uruguay,22,DF,,FC Sevilla,ESP,4/7/1987,FALSE
68,Uruguay,23,GK,,Defensor Sporti,URU,3/25/1983,FALSE
