rowNumber,0006,Location0408,US0756,On0398,Price0373,No0426,file_name,In0403,Favorite0538,post0299
0,For Sale/Trade: SpringField Armory M1a Loaded,"Kansas City, Kansas City, Missouri",2015,"Friday, November 20, 2015","2,300",Manufacturer:    Springfield    Caliber:    308/7.62 NATO    Action:    Semi-automatic    Firearm Type:    Rifle,03F782373899624E65AF80F477131205016EAFD40F437BF1EE64BE6D00F788A8.html,Rifles,"NIB Spring Field Armory M1a loaded  New Walnut stock w/ hinged but plate  Gen 4 Scope mount  Redfield Scope  Harris swivel bipod w/ s lock  Cleaning kit with multi tool (stores in stock)  380 rds 168 gr  2 20rd and 1 10rd mags  additional accessories  All original paperwork and box  May sell rifle without scope, mount, bipod or ammo for $1450",4876687
0,For Sale/Trade: Stag arms AR15,"Virginia beach, Hampton Roads, Virginia",2015,"Monday, November 16, 2015",700,Manufacturer:    Stag Arms    Caliber:    223/5.56 NATO    Action:    Semi-automatic    Firearm Type:    Rifle,074E88263CD1C961CB8FB991CCF3D4960ED00B2E0A038458114FFA9498EE69B4.html,Rifles,"Stag arms model 1 stag-15 5.56. Excellent condition, great shooting rifle. Includes everything shown, magpul and original buttstock, Removable A2 carry handle along with flip up rear sight, 1 pmag/1 steel mag, hard case. will consider trades as well. Must have concealed carry permit.    *No low ball trades, If your trade does not equal in value then you'll need to add cash or   ammo or both. Do not expect me to do a straight up trade for a $500 AK.",4758480
0,For Sale: Savage 1899 250-3000 Takedown Rifle,"Eastern Shore, Mobile, Alabama",2015,"Sunday, November 22, 2015",525,Manufacturer:    Savage Arms    Action:    Lever Action    Firearm Type:    Rifle,0E875CEA0C9C5A36FD45472856A1586BDDF1C446B2F9215D8FE969BE55CAC313.html,Rifles,"Early 1900's 250 Savage. With some ammo and dies.     Not for the collector.... Rifle has been re-blued including case hardened lever, receiver is drilled and tapped for side mount scope and forend has been repaired.          Firm price and no trades. Will ship without ammo.",4832350
0,For Sale: PreBan Eagle Arms AR15 A2,"Bellevue, Washington, United States",2015,"Wednesday, November 18, 2015",900,Manufacturer:    Armalite    Caliber:    223/5.56 NATO    Action:    Semi-automatic    Firearm Type:    Rifle,1029897E0EA49407BD99A921291A8189FBF9D68DB7710EF1AE0046A471FCF9DE.html,Rifles,"This is a preban Eagle Arms (now going by Armalite) EA-15 20"" A2 configuration AR-15.    It is in great condition and in perfect working order. The gun was a complete rifle, and not just a lower, from the factory, as can be seen by the ""proof"" marking located in front of the magwell.     Comes with 1 30rd GI magazine.     The gun is shown with an A1 grip, but the original A2 grip will be installed instead.",4871561
0,"For Sale: rws subsonic 22 ammo , case 5000 rounds , target rifle","west, Fort Wayne, Indiana",2015,"Wednesday, November 18, 2015",650,,135F94CEBA6516F1BD066EE90A6109DC94CB16718FEB850F7A16212066E4E3E7.html,Ammo,Have a case for sale for less than I paid . 3000 rounds subsonic . 2000 rounds target rifle which I believe is still subsonic just without the hollow point . 650$ takes all .   Call or text anytime . 260.403.4439,4870285
0,For Trade: Springfield Armory XD-S 4 model 9mm,"Tifton, GA, Valdosta, Georgia",2015,"Tuesday, November 17, 2015",,Manufacturer:    Springfield    Caliber:    9mm Luger    Action:    Striker Fire    Firearm Type:    Pistol,136635C20E4955266FA74DB632C1838FB2CB2F3A2BA18AC961A50D805C9FEC93.html,Handguns,Comes with the case  Lock  2 mags  Only 150-200 rounds through it  Like new,4868162
0,For Sale: Taurus Judge,"York, Cumberland Valley, Pennsylvania",2015,"Sunday, November 15, 2015",500,Manufacturer:    Taurus    Caliber:    45 Long Colt    Action:    Double Action    Firearm Type:    Revolver,1450A0FD273FC2981071374DD1B24BE636B45770D51D2D5C60A294D587DAD578.html,Handguns,"This is the Taurus Judge for sale. Shoots 45 colt and .410 2-1/2"" shotgun shells. Only fired around 45-50 rounds through it. Holds 5 rounds. It's a 3"" barrel, stainless steel finish. Asking $500 cash. Call or text Brandon at 717-880-9682 if interested.",4862001
0,For Sale: ak74,"Belton, mo, Kansas City, Missouri",2015,"Wednesday, November 18, 2015","1,000",Manufacturer:    Saiga    Caliber:    5.45x39mm    Action:    Semi-automatic    Firearm Type:    Rifle,16115E5082BC39B2FBDD92CB27C927C8F043C4CAFA591873284FFEC1F45C2CD5.html,Rifles,"Belton, mo  (816)315-1680  $1000  May trade for   -desert eagle .44 or .50  -.357 or .44 revolver 6"" or longer barrel   -12 gauge shotgun + cash  -long slide 9mm + cash  Aimpoint PRO + cash  Target ammo in .357 mag, 10mm, 7.62x39 or .308    What I have here is a really cool little ak74  -It was made by waffen works  -It is chambered in 5.45x39  -It comes with 6x 30 round circle 10 mags  -I also have a mag limiter so one of the mags can have a 10 round capacity for hunting  -it comes with a utg pro scope mount  -in addition to the standard right side charging handle, there is a left side, fal style folding charging handle built into the dust cover. It is non reciprocating. It is a very cool addition for you right handed shooters. And they run like $200 by themselves. Can't be used with the scope mount on though.  -I have 120 rounds silver bear fmj, and 84 rounds hornady ballistic tips  -the for end is tapco with a magpul grip  -the stock is ati and has an adjustable cheek piece  -has a hogue pistol grip as well  Paint was done by previous owner. Idk how it was done, but its holding up well.    This is the smoothest shooting AK you will ever shoot. There is virtually no recoil, and its a blast to shoot. The only reason its for sale is that im just trying to consolidate calibers.    NO FELONS, MINORS OR LOWBALLERS  MO RESIDENTS FACE TO FACE  KS RESIDENTS THROUGH FFL",4869966
0,For Sale: P238,"Ft nyers, South West Florida, Florida",2015,"Sunday, November 22, 2015",600,Manufacturer:    Sig Sauer    Caliber:    380 ACP    Firearm Type:    Pistol,1CE341478E2667271B81C0C06A2D3C569B17D09AECE2F43F3CE933D134DD520D.html,Handguns,"Very nice sidearm low profile comes with pocket holster.. Carried very little and shot even less, less than 1 year old. Just trying to free up some cash well taken care of. Night sights 1 clip. Asking 600 obo",4707777
0,For Sale: Marlin 336W .30-30 Cal. Lever Action Rifle Used,"PASCO, Tampa/St. Pete, Florida",2015,"Sunday, November 15, 2015",499,Manufacturer:    Marlin    Caliber:    30-30 Winchester    Action:    Lever Action    Firearm Type:    Rifle,1D6FB81C850357700B9A3BCE9B4B9BED6C28752D086025C8E7467225795C9F27.html,Rifles,"This item is located at our Holiday store. 2132 U.S. Highway 19, Holiday, FL 34691. Please call us at 727.938.8208 for additional information regarding this item. Also, call us before you  come in to make sure the item is still available for sale. Thank you.  Stop in our store or check out our website! GOLDEN NUGGET PAWN 2132 US HWY 19  HOLIDAY, FL 34691  (727) 938-8208 WWW.GOLDENNUGGETPAWN.COM Visa - Master Card - Discover  9 am-7 pm Mon-Sun **Let us do your FFL Transfers!** Sales - Trades - Lay-a-ways - TransfersGolden Nugget  Pawn 52 We buy ~ sell ~ trade all types of firearms. We also provide FFL transfers",4862337
