rowNumber,BLK0354,Shop0265,file_name,Price0364,0021,Ammunition1476,Post0326,Firearms0273,Ads0988
0,Absarokee,Firearms,0242BEC05F6285551028C0EF20B511D0008EB41067570606BC69FC78CA0DE99C.html,800.00,I have a few pistols,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",2658,"Handguns For Sale, Trade and Wanted","  pistols for sale"
0,Billings  (Laurel),Firearms,156C80946877DFE403EC869C99F7A4F0A05549BE5728CEF22E161576B428B47F.html,,"3 handguns for sale, Ruger Redhawk 45colt, SW Shield 9mm, Citadel 1911 45Auto","    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",2692,"Handguns For Sale, Trade and Wanted","  300 Savage Bolt Action     9mm ammo     RUGER SR9C 9mm Compact Pistol in Box      Ruger 10/22 Factory Stock w/ Barrel Band     Ruger Red Label Over-Under 12 Gauge Shotgun     Ruger 10/22 Factory Ruger Stock     1911 Chiappa .22 OD Green SALE!     Ruger Super Blackhawk .44 Magnum 7.5 barrel      Ruger 10/22 excellent condition, 10 and 25 round mags     338 Lapua Mag Savage 111"
0,Thompson Falls,Firearms,1EF9AD3DE83C0C0ED85AF1355A27FF2DAAD4337DB3E8E86CDA23C14A8A4ADC73.html,,WTB COLT 38 SUPER,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",2279,"Handguns For Sale, Trade and Wanted","  WTB - Ramshot Big Game powder     WTB: Comptac Minotaur Holster for Glock 19 Gen 4     WTB: Glock 30S - New/like new preferred     Colt M4 (with lots of extras)     WTB Thompson Encore Barrels     Colt SP 1 AR 15     WTB G2 Contender 44 Mag BBL     WTB Savage 110 ba in 300 Win Mag     Colt Python 8 inch stainless     Colt LE6920 M4 Carbine NEW - IN STOCK!"
0,"Billings  (Hardin, Miles City, Hysham, Forsyth)",Ammunition,1FA7D6793312C7F0BF27B872181F7FEA5ED1286CE183E2B92B13EE7E141933B0.html,,7.62 X 54 Ammo for trade for 7.62 X 39,,2123,"Ammunition For Sale, Trade and Wanted","  Ammo for sale, 270 and 7mm08     AMMO 40 SW 165 gr. Ultra Max HP"
0,Helena,Firearms,23E51B4594AA7B50C6CA7C99DC17F40D5878C301CA9A1B4C7A77BA46233351D2.html,490.00,Springfield XDS .45 Cal **SOLD**,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",2371,"Handguns For Sale, Trade and Wanted","  45 ACP 250 Rounds     Springfield XD 40 $450     SPRINGFIELD XDM 45.CAL     45 AUTO +P Starline brass casings (1000 ea per box)     45 colt     45acp Brass     Springfield XDM 9mm"
0,Missoula,Firearms,2EBF0D9F8BCAE09822AA0855E1480D9A44DFD2373B72A37643A71EAB6312419B.html,425.00,fs FN P 12 shotgun $425,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",2725,"Shotguns For Sale, Trade and Wanted","  FN Herstal handgun reported stolen from truck     pistols for sale     Primers for sale or trade     FNH USA Model #: FNS-40     FNH (FN Herstal) FNAR with scope  extras     FS/Partial Trade: FNH (FN Herstal) FNAR with scope  extras     fs/ft     FS DPMS sportical NIB     FS: AR-15 DPMS Sportical, New -- lowered pricing     FS SW 629 classic .44 magnum"
0,Kalispell,Firearms,4A9D2DC2E5E96139A61A85BB6EFBDCA80F8304A386C2AF697B7592A467A01B42.html,1000.00,Benelli MR1,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",2206,"Rifles For Sale, Trade and Wanted","  Benelli R1 .300WSM      Benelli R1 .300WSM      BENELLI M2 TACTICAL"
0,Helena  (Helena),Ammunition,4F25F025DDA34996D954EDA70D05C2796C6FE06286B6E1CBFD4F87B9F80A7234.html,50.00,9mm ammo,,1323,"Ammunition For Sale, Trade and Wanted","  Ammo for sale, 270 and 7mm08     AMMO 40 SW 165 gr. Ultra Max HP     9MM CONCEAL/CARRY KEL-TEC P11 F/S     9MM Ammo."
0,Butte,Ammunition,59BB1D36947585D6B83C7EBEC520BD0926669C4BDCC2062ABC0AC9CFCC2099D3.html,40.00,264 Win Mag,,1954,"Ammunition For Sale, Trade and Wanted","  Winchester coyote 22-250      Winchester 1300 defender tactical stock set     Winchester model 70, 7mm mag     Winchester 30-30     winchester model 1897 12guage      Winchester Model 70 Ultimate Shadow .223 WSSM      winchester 1400     Magpul Moe Laser Engraved Stocks for Mossberg 500/Remington 870     Winchester Super-X .20ga Hollow Point Rifled Slugs     winchester 30/30 lever action"
0,"Kalispell  (Spokane, Misoula, Corduelane)",Firearms,6B32A7661E1A1FA9B62554AE12D36C1B3BDED17E2E2C5DB382538FEF2A5095C0.html,600.00,Browning Shotgun,"    Antique Guns For Sale, Trade and Wanted       Handguns For Sale, Trade and Wanted       Rifles For Sale, Trade and Wanted       Shotguns For Sale, Trade and Wanted       Stolen and Missing Firearms Database       Montana Gun Shows and Events",1965,"Shotguns For Sale, Trade and Wanted","  Browning Model 78 Rifle , 22-250 Single Shot ,Nice     BROWNING CITORI XT     Browning Buckmark Pistol Only $260! Red-dot sight  3 lb. trigger.     Browning T-Bolt 17 HMR     Browning Buckmark .22LR Semi-auto - Ultragrip RX Pro Target 5 1/2 bbl     Browning Hi Power     Browning Citori 525 Sporting- Used Excellent Condition. 12 gauge over/under."
