rowNumber,001236,Kansas1324,Expires1091,001298,001068,991062,001267,file_name,2701270,Listings1232,Description1191,Send0933,Citori1239,Copyright1423,0003,set1328,Kansas1294,Boots1331,Reduced1301,Kansas1264
0,jD 936D and stud king 38,"17,500","1,460",JD Crop Dividers,Hays,"3,700",Silage packing tractor,023E168CF5EB531396290A2890F2D124C4D45BD4568741D17E0CEACDD12D9E8A.html,Colby,"33,500",,nlstaab21,Coats,2015,JD 38 Silage Cutter,JD 853A 1986 ROW CROP HEAD.,100,Assari,Beloit,100.00 per set
0,1986 Honda 450 nighthawk,"3,500",409,2003 Honda CRF 450 R MUST SELL!,Larned,"2,750",(PRICE REDUCED) HONDA TRX 450 2007,0324F87CE344D72335B4A6BCB6963C4AC608365A8F91EF456CD8B9D4A549CE52.html,Hoisington,"1,000",,KRS2010,Ellis,2015,Honda 450 R - NO TRADES!,450 Honda 2004,"1,800",Collyer,Stockton,0.00
0,3 Bedroom 2 Bath Ranch Home - Stockton,"130,000","4,041","Real nice home on 3 acres in Ellis, KS",1908 Maple   Ellis,"235,900","FOR SALE: 3 bedroom/3 bath home - Norton, Kansas",08AEBE944BFD50C4E697513976C5A82BC1A65CD51BB65A9BD2F2030F7495AE44.html,Norton,"130,000","Home has four bedrooms three baths, 2 car garage, breakfast nook, as well as a formal dining room. Nice family room with bar in the basement. 1655 square-foot on the main level and another 1655 square-foot in the basement. Other extras include a large master bedroom with a master bath that includes two sinks, toilet, shower, and a large Jacuzzi tub. 2 fireplaces with granite bases, a deck and large walk out basement patio, stove, refrigerator, dishwasher, two washers and two dryers. Underground sprinklers, water softener with reverse osmosis system, a Rinnai water heater",AllenWeber,Stockton,2015,Very nice 4 bedroom 3 bath home for sale in Ellis,4 Bedroom  2 1/2 Bath House,"130,000",Quinter,Ellis,0.00
0,Toyota 3RZ-FE rebuildable engine (1996 Tacoma 4X4),100,620,"BFG Mud Terrain Tires 33 x 10.50 x 15 on Toyota or Chevy 6 ",Dorrance   Russell,250,CHEVY V8 350 BUILT CAMMED ENGINE CRATE MOTOR HOT ROD,0A099F2B26074D58022E4623926540D81532FA1AB15E477A3AA5756D5FCFD358.html,Hays,300,,SrpntHn,Salin,2015,Toyota 22R 22RE 2.4 Engine. Motor. Longblock.,Engine-motor stand,175,Hays,Russell,"3,000.00 each"
0,led headlight conversion,180,"6,294",led light bars,13   Great Bend,1,LED Light Bars BetterBuilt,0BFDB733F21D213BAADB89E6B2B17D1E9A7D4947A49BA8D05F3F8608C7F71F8E.html,Grainfield,0,"LED light bars in many sizes also custom mounts dont buy the cheap bars  20in Led spot/flood combo bars start at $125  big savings over other sellers! many other sizes too  they are cree led, beware of cheap imitations, others claim the best but fall short!  Also have curved light bars, single row bars, pods, home led lighting and much more",NicR,Radium,2015,Led Light Bars and led headlight conversion,52 Straight LED Light Bar,50,Victori,Hays,80.00
0,Sbc weiland intake,20,18,SBC Heads,WaKeeney,150,aluminium 2 barrel SBC intake and car,0CB88FAADA4D2AE45B0AB77DFED2F2FB8FD1D2C40EE1617869CE8849859CA405.html,Belleville,70,,jpreinert2585,Grainfield,2015,SBC Intake,Small block Chevy intake,50,Hays,Ellis,50.00
0,Earrings,7,69,14k White Gold Pearl  Diamond Earring!!,Great Bend,4,Never Worn Dream Catcher Earrings,0D1D6353603647921CAE772061E1B6FFD3B1C0DFC36938F29B63A8D079B5D976.html,Hays,3,,dmhejny,Grainfield,2015,BLING Earrings,Necklaces and earrings,150,Hays,Ness City,8.00
0,Murray Outrage Go Kart,"34,500",53,"Motorized wheelbarrow, go kart",Dodge City,300,Race Go Kart,0FA6519AB9212E9A8B9E366DA35ACED9B60E2C4CE7E66B64DD738C564F3CCB59.html,Belleville,450,"196cc Baja Go-Kart purchased new 8 years ago for $600.00. It has been used by all four of my children, but now it is time for Mom and I to get something bigger that we can ride. The go-kart is in good working order with a new centrifugal clutch. It has the on/off switch on the steering wheel instead of the engine. When I moved the switch it disconnected the lights but they didnt work because the kids broke them, but everything else is good. Cash only. text me for more information or if interested.",bflax65,Jetmore,2015,BAJA Go-Kart,Baja 275 boss,"1,700",Garden City,"Kearney, Nebraska                 $34,500.00   Baja 275 boss   Garden City",400.00 each
0,Bucket Truck,"2,500",639,Garden Bucket Caddy Apron,Fowler,500,Skidsteer Attachments,1447046BBFBC0E7CFCE2B6EA60A14B8155E5016D83812B7E723B69A7DF6066D6.html,Plainville,"5,800",Bucket truck attachment to go on truck frame. The unit is ran off of PTO on the truck and is hydraulic and cable driven. Has controls at base and up in bucket. Will go 35 high. Would be very handy if you had a truck to mount it on.  Truck in picture is also for sale.  $500 or best offer  Call or text 620-255-6097,timmymilford,Syracuse,2015,Bucket Truck Attachment,Skidsteer bucket with Grapple,10,Oakley,Hays,0.00
0,46 Flat Screen TV,150,43,Very Nice 53 Pioneer split screen TV BEST CASH OFFER,Hays,50,50 inch Element Flat screen TV,1EB0CEE627D74230C99ACEB8AF72161B9CB9C32B4F7851673AF523B0DF165493.html,Hays,475,,WeyDav,Colby,2015,55 Akai flat screen TV,32 Toshiba Flat Screen LCD 720HD TV Like new Used 1 month,300,Solomon,Hays,250.00
0,Movies on DVD,1,14,Movies on DVD,Osborne,2,Movies on DVD,2154DE13A5E871B77B9517FE267713E5926C3CA3D3D96B0643AE38B69983FCDF.html,Hays,3,,russjessbenn,Hays,2015,Movies,Lithographs/advertising/Movie/Rockwell  More,1,Hays,Hays,2.00 each
0,Anhydrous Bar,60,217,Propane tanks,Downs,"1,500",Small tank,22993886A16367A80C621F629ED6682E24A8F1026D8EFA3D31E0499E50385204.html,Great Bend,"2,000",Ammonia Anhydrous tank. $1300.00 negotiable   (785)477-4084,Chace_Weis,Pratt,2015,Ammonia Anhydrous Tank,Water tank,200,Hays,Russell,4.00
0,Meeks Tree Service/Stump grinding/bucket truck,400,193,"Tree Stump Grinding - Goodland, Burlington, St. Francis",not responsible for lost items that are requested to be shipped   Hays,0,Tree trimming  removal,23C24B4ABBF56C427C4C5B61B7A9544A99D9E95DA1D86793028422876A845EA4.html,Jennings,0,my husband and I are both disabled and we are working through LINK to get a tree stump and the cement at the base of our steps in our back yard replaced we need 3 bids to do this.,malind,Great Bend,2015,ISO someone to do cement work and remove a tree stum,ISO someone to take over lease ASAP,8,Hays,Goodland,8.00
0,90 Oldsmobile 88 Royale,"2,500",696,1999 Oldsmobile 88,Oberlin,"1,200",1959 OLDSMOBILE SUPER 88 COUPE HEADLIGHT BEZELS OEM RARE 5,299A26AD502AF811170DE21F129E26F6E0777EE0D9758198425A5307FBA8EB5C.html,"Saint Peters, Missouri                 $5,000.00   1999 Oldsmobile 88   Macksville",500,For sale - 1963 Oldsmobile Dynamic 88. All original down to the hubcaps. Need restoration. For more information call 785-470-1161- may have to leave a message but I will get back to you.,captnsuprise,Tescott,2015,For Sale 1963 Oldsmobile Dynamic 88,1963 AMC Rambler 220,"5,000",Dodge City,Macksville,300.00
0,2008 Pontiac G5,"9,595",414,2007 Pontiac Torrent FWD,1900 10th st   Great Bend,"4,999",2002 Pontiac Grand Prix 4dr,2C02C1EC705998566CE552CBE3570250D7522F5719ABB2BF77F7B2A7DACC5BDA.html,Great Bend,"4,700",,Xtreme Autos (lovethelake),Great Bend,2015,07 Pontiac Torrent,2008 PONTIAC TORRENT GXP,"8,995",Plainville,Hays,"2,399.00"
0,Keith Urban 4s iPhone custom designed cover,100,41,LCD AND TOUCH SCREEN DIGITIZER FOR IPHONE 4S,160 Morse Drive   Phillipsburg,90,iPhone 4s and cases Nex-tech,2E3E241D25D1FF8CA8DBE97E6EBFB041D76DD6F0E8B766FB39F61F542159712A.html,Grainfield,20,"4s iPhone with charger, ear buds and 4s cover. Great as a first phone for a young person.",jkennis,Phillipsburg,2015,4s iPhone,iPhone 3GS 16gb Unlocked,25,Ellis,Russell,150.00
0,Vintage bit~New number,30,29,Vintage 25lb Pocket Balance Scale Made In Germany,Great Bend,10,Vintage J Chein Dime Register at $10 Tin Litho Coin Bank,300BE6BE402E95A0F9279F1B68E84FA8E4355F59794E125E5977D1AA9B561C2C.html,Sharon Springs,20,Not sure what brand it says Made in USA and a long patent number  Call text or email,sswiff,Goodland,2015,Vintage Razor,Alltel Motorola Razor V3M,10,Tipton,Sharon Springs,10.00
0,BOYS 4T CLOTHES,20,7,BOYS SIZE 8 CLOTHES,Norton,,9 Month boy clothing lot,338A111BDBB6A0EA66923F3399057902FB9D972F7A8DE20B607AB00A394E863B.html,Hays,15,,lmhenderson1231,Hays,2015,Boys clothes,BOYS 3T CLOTHES,20,Hays,Hays,10.00
0,Fresh Horned Calves,0,"1,878",3 year old cows,Gypsum,775,3 year old bred cows for sale,3556DFF6B9244FF91ECEFE408303185512232E2F412CFAB081C8B48865D1EC8F.html,Zurich,"1,000",,Dustin Buchanan Livestock (dustinb63),Burr Oak,2015,3 weight calves,Spring calving cows for stocks or winter grazing,"2,450",Gypsum,Colby,"3,000.00 each"
0,Blue Zebra Prom Dress,75,493,Royal Blue Prom Dress,Hays,175,Blue formal or prom dress,39F8E3D0AA44AEC8A15456B5CF16F01E25C5C795585C25F43F05655CBA4A9EAD.html,Ness City,75,"Blue and purple jeweled full length prom dress. $500 new. Worn twice, has been cleaned and is ready to wear. Size 8-10",cjwinter,Smith Center,2015,Blue and purple strapless prom dress,Prom Dress- Light Blue,125,Waldo,Victori,40.00
