rowNumber,Location0814,Description0868,trade1645,file_name,Messages0801,Name0846,Accessories0378,0029,started0628,For0031,Price0855,FT0613
0,"Bethelhem, G",,2015,00E352FD3B9A7BB5F96681D31BB89C567BADA6B47DB5827AC19B3B02A0123BE1.html,"4,950",,Rifles,,glock27,,,
0,"Spalding County, Georgi",,2015,013B57E77266452CD5E52FDF2C01FC904F30A50FB33E226E9E11871E9A050E2E.html,"2,200",,Ammunition,,klondyke46,,,
0,Gwinnett County,"For sale or trade, SW 629-0 44 mag stainless 6 in pinned and recessed. Also Astra 44 mag stainless 6 in pinned and recessed. Both include the factory wood grips not pictured. Also included is the following ammo:  120 Winchester Platimun Tip 250 gr  20 Federal Premium Hunting 300 gr  20 Federal Premium Hydo Shok 240 gr  100 Remington JSP 180 gr  400 GA Arms (new ammo) Gold Dot Deer Stopper 240 gr.  A total of 560 rounds. All ammo is factory loaded in factory boxes or bags. More ammo available for the right deal. Trade interests are Steyr Aug, Micro Uzi, Mini Uzi, Chinese AKs, multiple Glocks in 9mm or 45 acp, what do you have? No interest in 1911s, 40 SW, 357 Sig, or BP. Please note that both guns look almost identical at least from a short distance. Must be a GA resident, meet close to me. Please pm all offers. Thanks for looking. Additional pics available via text.",2015,0190C983C7A97B2B88C490B8E1F9B42CBF04B99BC2D1070A97BDB1FD3943FB7F.html,444,"SW 629-0 PR, 44 mag 6 in stainless, Astra 44 mag 6 in stainless PR. + ammo",Revolvers,"SW 629-0 PR, 44 mag 6 in stainless, Astra 44 mag 6 in stainless PR. + ammo",hwmike,Metro Atlant,"$1,525.00","SW 629-0 PR, 44 mag 6 in stainless, Astra 44 mag 6 in stainless PR. + ammo"
0,30501,"Ive got a Smith and Wesson 500 Magnum for sale or trade. Really just wanting the 500 with a 4 barrel, but will entertain other offers. Cash price is pretty firm.    Will come with box, docs, and lock. Thanks for looking.",2015,06BBCA83D80E96E1D47CA964FF0FDDD4DB48CBB3F961C4DB40FF531B5CEC4C7D.html,103,SW 500 8.38,Revolvers,SW 500 8.38,Sigweld17,North East GA,950,SW 500 8.38
0,Macon,"New in box streamlight TLR-VIR. Looking to trade for a similar condition streamlight TLR HL or Surefire 300U variant    -Has both Visible and Infrared Light (for night vision devices)   -300 Lumens   -programmable strobe feature   -Comes with all accessories pictured below (batteries, tape swtch, etc.)",2015,07369F54052EB6260EA36A11BD4276B2543C149548158A9BAD348F38119A4DCD.html,895,,Accessories,,Trimax2,,,
0,United States,"Item Description:  I AM RUNNING SALE ON ALL MODEL SCCY PISTOLS AND I HAVE THEM IN A FEW DIFFERENT COLORS. THE SCCY PISTOLS ARE MARKED DOWN TO   $219 AND TAX WHICH BRINGS YOU TO $234.33 OUT THE DOOR   . THESE GUN ALSO COME WITH A LIFE TIME WARRANTY FROM THE MANUGSCTURE. THEY WILL EVEN REPLACE THE GUN IF IT STOLEN . SO COME GET THEM WHILE THEY LAST.  IF YOU HAVE ANY QUESTIONS YOU CAN REACH ME AT 770-474-6084 JUST ASK FOR ALEX OR TEXT ME @ 678-294-7086 I AM LOCATED AT  EDS PUBLIC SAFETY   4431 North Henry Boulevard   Stockbridge, GA 30281",2015,074ECC4E8A591DBD53257E04BCFF977AAD86673C82777892A1DFD9ED1C7C5FC4.html,103,,Dealer Listings - Firearms  Accessories,,ka24_det,,,
0,30014,,2015,09747C9BA71E4261F5AF13F954EFC87707BF97AABA8517D690F5B68D47DFF250.html,22,,Rifles,,gadawgs,,,
0,south metro atlanta(mcdonough),Taurus pt111 g2 only 20 rnds shot through it. Asking $310.,2015,0D27EEEF7FACB947F07DA2EBC73CD11485C75FF522B8AA1976B0A4CF469A088E.html,163,,Handguns,,bcorley,,,
0,Newnan,"Bell  Carlson Carbelite Stock ($160) - Olive w/ Black Web Bell and Carlson stocks are reliable over a temperature range of -50ºF to + 140ºF and all stocks are covered by a limited lifetime warranty. Besides being impervious to weather, having the benefits of strength, and the reduction of felt recoil, Bell and Carlson stocks are built to look and feel like a wood stock with which all shooters are familiar.  Bushnell Trophy Riflescope 3-9x40 Multi-X Reticle, Matte Finish ($150) - This scope features Amber Bright multi-coated optics for low light hunting situations, a rugged one-piece tube design, 100% waterproof/fog-proof/shockproof construction, dry-nitrogen filled , 1/4 M.O.A. fingertip, audible / resettable windage and elevation adjustment, and a fast-focus eyepiece.  Leather Sling ($20) - ¼” Leather sling, hooks are heavy solid brass, nicely polished and riveted to the leather. All faithful to the original 1907 sling.  Harris Bipod ($110) - 6”-9” Mounts to QD swivel studs on bolt action and single-shot rifles for ultimate field accuracy. Wont change zero; added weight steadies gun. Spring-loaded, telescoping legs adjust quickly, fold parallel to barrel for carrying. Series S bipods rotate 45° for instant leveling on uneven ground. Buffer springs and adjustable tension on hinged base help eliminate tremor.  All Metal parts coated with Robar POLYMAX ($225) which gives the following advantages:  • Chemical Resistant  • Water Resistant  • Excellent Adhesion  • Mar  Abrasion Resistant  • Excellent Hardness  • Excellent Impact Resistance   View attachment 338362       View attachment 338363        Looking for an AR-15 plus cash on my end.",2015,0E1D8499C427FC2C516AA50E221F623DA9E57B61DAEE0ADB6B2BE9483A5EFB05.html,30,,Rifles,,Sedo55,,,
0,roswell GA/ ATL,"HK now offers the long awaited civilian variant of the popular 416 upper. This MR556, match grade upper receiver assembly comes complete and ready to pin onto any standard AR-15 lower receiver. The short stroke gas piston design ensures cooler, cleaner operation of this upper for reliabilty and less time scrubbing residue out of the receiver after extended shooting sessions. Upper Receiver: MR556 Flat-Top Barrel Length: 16.5 Barrel Contour: Heavy Barrel Material: Hammer Forged Chrome Moly Steel Muzzle Thread Pattern: 1/2-28 Chrome Lined: No Barrel Finish: Parkerized Twist Rate: 1 in 7 Chamber: 5.56x45mm NATO M4 Feed Ramps: Yes Muzzle Device: A2 flash hider Gas System Length: Carbine, short stroke gas piston Gas Block Diameter: 0.750 Handguard: 9 Free Float Quad Rail  As for trades Im open to glocks,ARs,1911s something cool",2015,10F09BCE07FDF8B1C2F7B5730C828BDE289838CA0EB5D27DF2E778564496A780.html,"1,347",HK 416 piston upper MR556 brand new,Accessories,HK 416 piston upper MR556 brand new,stelios5,Metro Atlant,$1800,HK 416 piston upper MR556 brand new
0,Carrollton,Up for trade or sale is a 44 mag Ruger Super Redhawk with 7.5 barrel.This gun is a 1 owner that I purchased from the first batch of these Ruger produced back in 1987.It has had about 100 rounds through it and comes with the stock quick detatch scope rings.Thanks for looking!,2015,11EC51FC0E711EA8435E6397D3AA472D555F7041E05C41DFBC800018F940671F.html,140,44 mag Ruger Super Redhawk,Revolvers,44 mag Ruger Super Redhawk,Pistolier60,West GA,650,44 mag Ruger Super Redhawk
0,"Cumming, G","Burris 2x-7x I used for a short time as scout mounted rifle scope.    Ballistic plex reticle, so it has holdover tics. for elevation. Works good.    Search Burris 200299 to find new price offerings. Exact model w/posi-lock.    Picture of scope attached to mount that fits M-38 and M96 Mauser rifle.    The mount is NOT included in this sale. May be offered later.",2015,1727EE9426B745B5A5D77D9BB3A649BCE113E786C4B3F012C81F75F53E8336D3.html,90,,Accessories,,Plt dinger,,,
0,"Roswell, GA 30076","Henry Repeating Arms Survival Rifle take down rifle. Brand new in the box. Breaks down and fits into the butt stock. Perfect for camping or hiking, and it floats! $215 plus tax (7%)    Silver Dollar Inc.  11680 Alpharetta Hwy.  Roswell, GA 30076  678-264-8899",2015,1A804888439137D59B011DC22DB8785C849127B51D8AE9091B5AF6BCE1256CF3.html,494,,Dealer Listings - Firearms  Accessories,,SilverDollar,,,
0,"Albany, GA","Pristine 1975 M77 tang safety red butt pad 7 mag. 2nd owner. This one has been a safe queen most all of its life. I know the gentleman I bought it from and he swears it has been fired less than 20 times since he bought it new. I have shot it six times after I got it just so I could say it functioned properly if I ever decided to let it go. Includes Simmons Pro 50 scope, Leupold bases and rings and 2 boxes minus 6 rounds of 150 grain ammo. Put 3 rounds in less than a 1 inch group at 100 yards.   Prefer to sell but will certainly entertain trade or trade + cash offers on another bolt action deer rifle. I love Ruger all weathers, Brownings, Tikkas, some Winchesters, some Remingtons, T/C, etc. but wouldnt be opposed to others as well.",2015,1A9DD999BDCD1431EFDAACD08C122903C9E4839A1FBA62DCBDA34CA0C7C8FE51.html,238,Immaculate 1975 Ruger M77 7mm mag,Rifles,Immaculate 1975 Ruger M77 7mm mag,wg4tim,South West GA,600.00,Immaculate 1975 Ruger M77 7mm mag
0,MONROE,"New Stoeger Condor O/U in 20 Ga.    gun is unfired.. Original box included..    3 chokes.. Skeet, I/C and Modified    26 barrels",2015,1D2D7022AD07A22B89DBC05EA9CF785D9F1B328CF7A61F1AB9EBE3BCABAB91E0.html,"1,173",,Shotguns,,jglenn,,,
0,Douglasville,"less than a 100 rounds through it. talon grips. fiber optic sight. looking to sell or trade for a similar G26 package. Will throw in some ammo for the right trade.    I travel between douglasville and johns creek daily, so I can meet pretty much anywhere metro ATL.",2015,208086AAA46B27647D3FFA7B213E708CC80A53E9D0D8EAE6AA8058022EF52242.html,350,XDs 45 LNIB for glock 26,Handguns,XDs 45 LNIB for glock 26,ed1380,Metro Atlant,500,XDs 45 LNIB for glock 26
0,Dallas,"For sale or trade is a beautiful Sig Sauer P229 SAS DAK two tone. It has trijicon night sights, 4x 12 round mags (two blue, two phosphate), box and docs. Willing to drive reasonable distances.",2015,25FD5581766FA5BF14F8C16FAE7CD74A6F1DBCB8F76AA0DF5D00CF5FE7E6F17D.html,790,Sig Sauer P229 SAS,Handguns,Sig Sauer P229 SAS,CCSO,North West GA,$650,Sig Sauer P229 SAS
0,"Marietta, GA","Vortex Razor HD Gen II 1-6 x 24 VMR-2 for sale. Comes with original docs, etc. I am the original owner. The mount is not included in the above price. Will sell the mount with the scope for an additional $225. Nothing wrong with the scope, I purchased this new. I decided to go another direction in scopes. Just looking to fund something new, so cash is preferred.    Thank you for looking.  PM is best way to contact",2015,26373D0E8B7DD3F06F10B1BDF02E25081489480EED0132E5552470CC2171085D.html,334,,Accessories,,Sigman69,,,
0,"Douglasville, GA","Just clearing out some extra stuff I have no use for.     (1) SD40 Magazine, full of FMJ ammo and also have 11rds left in the box of Winchester Ranger LE ammo.     Will meet in Villa Rica only.    Text only please.   (678-638-9289) Dustin",2015,287162AF8FD5F57298B87FDB23FF4F5A7478FE8301ED21F35FFF1EA4EFE8D7CB.html,"3,846",,Accessories,,dustind3366,,,
0,Atlant,,2015,2AD8D68E779D75C9DA9425CB168317CDFFA572BF04AFF15DB9B59C2B0A9C3379.html,506,Smith and Wesson Model 3913 Lady Smith 9mm DA/SA Stainless 8+1 Slim Magazine Nice!!!,Handguns,Smith and Wesson Model 3913 Lady Smith 9mm DA/SA Stainless 8+1 Slim Magazine Nice!!!,GaSouthSideRevolver,Metro Atlant,450.00,Smith and Wesson Model 3913 Lady Smith 9mm DA/SA Stainless 8+1 Slim Magazine Nice!!!
0,"Atlanta, GA","Gently used M+M M10 Ak47. Hate to let her go, but Im going back to school and need the cash for tuition (no trades). Feel free to PM or text with questions, thanks!    Jon    678-662-1655",2015,2C24A0E6E155B3EB36880BE39D357960B73233DBBA8200E56F23496924AF91CB.html,157,,Rifles,,jrgreen89,,,
0,Buford,,2015,334D3360268F4AA057E2D825C71B038A31D37DF12F1180251B81330A3A7D0BC9.html,"1,532",,Accessories,,ch035,,,
0,Villa Ria Ga.,"I have a bnib Glock 43 unfired and new iwb Tagua holster. And all the goodies.  Looking to trade for a sig 938,kimber solo,or sig 290 in good condition I want the 290 that came with 2 mags and holster box and docs.Can add 100 cash for the solo or sig. Will swap even for Sig 290 rs in good condition.",2015,33CA265B319B1AE9AF8CF7A7F98B2318B6509BFCDB09B70EBF14B96113BA887B.html,237,,Handguns,,Earthman,,,
0,Cumming,I have an HR Handi Rifle in 243. Great shape. Very few rounds fired. Without Scope and rings. Would rather trade but will take $225 cash FIRM. No scope,2015,3851D1C6B6CD91E940174E8D7F9018B5955682F7064B490EB8DB155A27DB7F71.html,"1,430",HR Handi Rifle in 243 With Osprey Scope,Rifles,HR Handi Rifle in 243 With Osprey Scope,billieco,North East GA,$225,HR Handi Rifle in 243 With Osprey Scope
0,mariett,"Looking to trade my Beretta m9a3 for a hk usp tactical in 9mm. Just bought it less than a week ago and put ONE round through it for kicks. Great gun but Im an hk fan at heart. Has trijicon night sights, threaded barrel with 1/2 x 28 threads, 3 17 round mags, standard and rubber grips, case, box, and docs",2015,3A0E996F08FA469F6307107E253B93BB32195AD4D15053AEC493D2ABA25612C6.html,"1,713",,Handguns,,voodoochild1989,,,
0,Cumming G,,2015,3B1B9EFE92ED6501DD6A64E7C91CB3DD109BEAF8C3B4C080B0FB681986361AF8.html,333,,Handguns,,basser777,,,
0,"rossville, GA","Sig P238 9 mm.....Brand new. Never been shot or even loaded. Comes with all paperwork and box, box of roundball ammo and personal defense ammo. Clip has had an extension added",2015,3DAD670C44C4175D022D2BAD7A85AF79D674186CA29DC1ACDDC00B5E23E6E68A.html,152,,Handguns,,chris lewis,,,
0,Cumming,I have a brand new Sig P320C 9mm with all the factory stuff including 2 mags and factory holster plus a nice Cooks IWB holster. I have the trade bug so its available for the right offer. Never been fired and still has the factory grease. Traction Grips installed.,2015,411B885EE5677FED58D07A7F86AD7EB5C49B27BC07EAD3F3AF42AC213960EA78.html,285,,Handguns,,GreggWSmith,,,
0,Atlant,I have up for sale a Springfield XDS 45 Bi-Tone. I bought it and put it in the safe. Hasnt been fired outside of the factory. Comes with (1) 7 round mag and (4) 5 round mags. Asking 500 obo but will trade for an XDM compact in 45 or Spikes AR Upper in 5.56/.223 with possible cash on my end,2015,426D6E9A42DE9BC7AB2A5FEA8DDF7489CE8D95BF996C217AE6CF620218D83E68.html,872,Springfield XDS 45 Bi-Tone,Handguns,Springfield XDS 45 Bi-Tone,jhenry30,Metro Atlant,500,Springfield XDS 45 Bi-Tone
